ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy,buy_threshold,sell_threshold
AIRG,7,57.14,-5.0,218.0,1.14,0.5240736042650869,-14.23 # 17.86 # 27.29 # 1.14 # -36.15 # 13.48 # -44.43,17.86 # 27.29 # 1.14 # 13.48,14.94,15.67,-14.23 # -36.15 # -44.43,-31.6,-36.15,266.0,4,3,27.29,-44.43,2017-03-01,30,70
JFU,6,33.33,-19.62,135.0,-14.01,0.1910410805366623,0.25 # -45.33 # -25.0 # -57.56 # -3.02 # 12.92,0.25 # 12.92,6.58,6.58,-45.33 # -25.0 # -57.56 # -3.02,-32.73,-35.16,145.0,2,4,12.92,-57.56,2019-12-06,30,70
BZFD,3,33.33,-14.45,217.0,-56.95,0.16283090793853802,-80.52 # 94.12 # -56.95,94.12,94.12,94.12,-80.52 # -56.95,-68.73,-68.73,262.0,1,2,94.12,-80.52,2021-11-30,30,70
UG,16,68.75,6.04,150.0,13.52,1.6412247384882435,-12.53 # 7.4 # 40.93 # 13.51 # 18.14 # 15.59 # 17.07 # -19.96 # 18.79 # -11.61 # 23.45 # 13.54 # -0.51 # 8.43 # 19.46 # -55.0,7.4 # 40.93 # 13.51 # 18.14 # 15.59 # 17.07 # 18.79 # 23.45 # 13.54 # 8.43 # 19.46,17.85,17.07,-12.53 # -19.96 # -11.61 # -0.51 # -55.0,-19.92,-12.53,124.5,11,5,40.93,-55.0,2006-04-04,30,70
POCI,26,80.77,651.54,114.0,29.32,498548.4606150015,-89.9 # 681.25 # 59.09 # 17.65 # 14900.0 # 170.0 # 460.0 # 16.0 # 190.91 # -27.33 # 4.62 # 203.03 # 0.0 # 1.01 # -1.25 # 0.0 # 55.0 # 33.33 # 22.81 # 50.0 # 60.0 # 10.42 # 27.27 # 11.11 # 53.64 # 31.36,681.25 # 59.09 # 17.65 # 14900.0 # 170.0 # 460.0 # 16.0 # 190.91 # 4.62 # 203.03 # 0.0 # 1.01 # 0.0 # 55.0 # 33.33 # 22.81 # 50.0 # 60.0 # 10.42 # 27.27 # 11.11 # 53.64 # 31.36,741.67,33.33,-89.9 # -27.33 # -1.25,-39.49,-27.33,67.5,21,5,14900.0,-89.9,2006-06-19,30,70
SCTL,11,36.36,-7.01,182.0,-18.66,0.08233318145662598,-22.0 # -24.16 # 0.0 # 27.66 # 45.16 # 79.56 # -82.55 # 12.9 # -35.48 # -18.66 # -59.53,0.0 # 27.66 # 45.16 # 79.56 # 12.9,33.06,27.66,-22.0 # -24.16 # -82.55 # -35.48 # -18.66 # -59.53,-40.4,-29.82,161.0,4,7,79.56,-82.55,2014-04-15,30,70
ACHL,3,0.0,-37.88,203.0,-38.52,0.22709260392172012,-23.2 # -38.52 # -51.9,,,,-23.2 # -38.52 # -51.9,-37.88,-38.52,232.0,0,3,-23.2,-51.9,2021-06-16,30,70
NEPH,13,38.46,7.84,214.0,-11.38,0.21440941805028207,-23.24 # 17.39 # 110.0 # 36.36 # -49.15 # -68.33 # -26.09 # 0.0 # 118.18 # -35.71 # 106.72 # -11.38 # -72.83,17.39 # 110.0 # 36.36 # 0.0 # 118.18 # 106.72,64.78,71.54,-23.24 # -49.15 # -68.33 # -26.09 # -35.71 # -11.38 # -72.83,-40.96,-35.71,150.0,5,8,118.18,-72.83,2006-05-12,30,70
RVP,12,58.33,3.3,275.0,13.43,0.31247838201558675,-59.79 # 86.96 # 26.09 # 12.77 # 26.76 # -15.73 # -43.72 # 20.9 # 14.1 # 80.8 # -44.92 # -64.6,86.96 # 26.09 # 12.77 # 26.76 # 20.9 # 14.1 # 80.8,38.34,26.09,-59.79 # -15.73 # -43.72 # -44.92 # -64.6,-45.75,-44.92,225.5,7,5,86.96,-64.6,2006-02-14,30,70
DARE,10,60.0,3.84,135.0,7.66,0.7456699877453401,0.36 # 62.86 # -7.0 # 20.43 # 33.9 # 22.03 # -42.0 # 14.97 # -7.56 # -59.56,0.36 # 62.86 # 20.43 # 33.9 # 22.03 # 14.97,25.76,21.23,-7.0 # -42.0 # -7.56 # -59.56,-29.03,-24.78,131.5,6,4,62.86,-59.56,2014-05-27,30,70
