ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy,buy_threshold,sell_threshold
RDFN,7,71.43,4.02,177.0,15.12,0.5471239922060681,18.93 # -1.97 # 22.37 # 47.87 # -78.39 # 4.23 # 15.12,18.93 # 22.37 # 47.87 # 4.23 # 15.12,21.7,18.93,-1.97 # -78.39,-40.18,-40.18,134.0,5,2,47.87,-78.39,2018-02-01,30,70
OCFC,17,70.59,6.97,201.0,10.53,2.805441647859688,3.92 # -5.94 # 9.91 # 22.9 # 10.77 # -0.86 # 16.81 # 9.57 # -8.62 # 10.53 # -16.33 # 20.29 # 18.31 # 15.19 # 14.97 # -16.0 # 13.0,3.92 # 9.91 # 22.9 # 10.77 # 16.81 # 9.57 # 10.53 # 20.29 # 18.31 # 15.19 # 14.97 # 13.0,13.85,13.99,-5.94 # -0.86 # -8.62 # -16.33 # -16.0,-9.55,-8.62,133.0,12,5,22.9,-16.33,2006-05-31,30,70
AZUL,5,40.0,-8.83,151.0,-18.67,0.36229110583247653,-18.67 # 29.41 # -53.05 # -50.77 # 48.91,29.41 # 48.91,39.16,39.16,-18.67 # -53.05 # -50.77,-40.83,-50.77,102.0,2,3,48.91,-53.05,2018-05-08,30,70
EMBC,2,50.0,-6.87,230.0,-6.87,0.8585518888830419,2.49 # -16.23,2.49,2.49,2.49,-16.23,-16.23,-16.23,230.5,1,1,2.49,-16.23,2022-04-12,30,70
DCOM,17,70.59,5.73,201.0,8.22,2.272019872653142,-11.5 # 7.08 # -0.67 # 17.0 # 19.88 # 12.11 # 4.74 # 9.12 # 2.42 # 13.4 # -7.21 # 10.15 # -21.94 # 28.13 # 8.22 # 17.77 # -11.26,7.08 # 17.0 # 19.88 # 12.11 # 4.74 # 9.12 # 2.42 # 13.4 # 10.15 # 28.13 # 8.22 # 17.77,12.5,11.13,-11.5 # -0.67 # -7.21 # -21.94 # -11.26,-10.52,-11.26,125.0,12,5,28.13,-21.94,2006-12-11,30,70
KRUS,4,100.0,24.08,210.0,23.13,2.2838385102495398,24.52 # 48.86 # 21.73 # 1.21,24.52 # 48.86 # 21.73 # 1.21,24.08,23.13,,,,210.0,4,0,48.86,1.21,2020-03-02,30,70
TTGT,11,63.64,1.23,238.0,16.49,0.49553453940382364,23.97 # -64.15 # 44.54 # 7.85 # -15.87 # 16.49 # 38.22 # 18.38 # -36.05 # 23.8 # -43.67,23.97 # 44.54 # 7.85 # 16.49 # 38.22 # 18.38 # 23.8,24.75,23.8,-64.15 # -15.87 # -36.05 # -43.67,-39.93,-39.86,174.0,7,4,44.54,-64.15,2007-07-05,30,70
BY,8,50.0,2.76,142.0,4.2,1.1645557608598547,13.75 # 13.57 # -8.9 # 9.82 # -19.35 # -6.18 # -1.42 # 20.81,13.75 # 13.57 # 9.82 # 20.81,14.49,13.66,-8.9 # -19.35 # -6.18 # -1.42,-8.96,-7.54,139.0,4,4,20.81,-19.35,2017-11-10,30,70
HOV,14,42.86,-15.94,226.0,-8.69,0.016810266719943283,-22.57 # -55.18 # -65.66 # 6.84 # -39.88 # 20.2 # -1.01 # 9.5 # -38.61 # 23.33 # -80.98 # 9.95 # -16.37 # 27.34,6.84 # 20.2 # 9.5 # 23.33 # 9.95 # 27.34,16.19,15.07,-22.57 # -55.18 # -65.66 # -39.88 # -1.01 # -38.61 # -80.98 # -16.37,-40.03,-39.25,209.5,6,8,27.34,-80.98,2006-02-07,30,70
ASTL,3,66.67,10.88,130.0,3.52,1.2787661206392904,3.52 # 42.32 # -13.21,3.52 # 42.32,22.92,22.92,-13.21,-13.21,-13.21,73.0,2,1,42.32,-13.21,2021-03-26,30,70
