ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy,buy_threshold,sell_threshold
EXPO,14,100.0,10.35,114.0,11.73,3.923181029255417,11.94 # 13.68 # 14.25 # 8.38 # 11.52 # 12.19 # 4.8 # 17.8 # 8.96 # 10.35 # 4.61 # 13.28 # 12.76 # 0.34,11.94 # 13.68 # 14.25 # 8.38 # 11.52 # 12.19 # 4.8 # 17.8 # 8.96 # 10.35 # 4.61 # 13.28 # 12.76 # 0.34,10.35,11.73,,,,98.5,14,0,17.8,0.34,2008-10-10,30,70
ALIT,3,66.67,15.47,116.0,12.46,1.4717372187301414,12.46 # 41.35 # -7.42,12.46 # 41.35,26.91,26.91,-7.42,-7.42,-7.42,123.0,2,1,41.35,-7.42,2021-07-01,30,70
NFG,13,61.54,-0.37,226.0,9.32,0.762974879543633,11.13 # 21.24 # -23.1 # 18.88 # -16.97 # 12.1 # 10.19 # -29.6 # 8.97 # 9.32 # 14.23 # -20.43 # -20.76,11.13 # 21.24 # 18.88 # 12.1 # 10.19 # 8.97 # 9.32 # 14.23,13.26,11.61,-23.1 # -16.97 # -29.6 # -20.43 # -20.76,-22.17,-20.76,91.0,8,5,21.24,-29.6,2006-02-09,30,70
SLGN,15,93.33,9.81,162.0,10.88,3.872201781689491,8.51 # 13.82 # 8.62 # 11.9 # 0.81 # 10.88 # 13.24 # 3.28 # 1.98 # 2.82 # 22.14 # 18.5 # 16.87 # 24.42 # -10.6,8.51 # 13.82 # 8.62 # 11.9 # 0.81 # 10.88 # 13.24 # 3.28 # 1.98 # 2.82 # 22.14 # 18.5 # 16.87 # 24.42,11.27,11.39,-10.6,-10.6,-10.6,211.0,14,1,24.42,-10.6,2006-02-06,30,70
ASO,2,50.0,34.49,130.0,34.49,1.6781825726814052,70.63 # -1.65,70.63,70.63,70.63,-1.65,-1.65,-1.65,129.5,1,1,70.63,-1.65,2022-05-25,30,70
EEFT,23,73.91,9.24,134.0,6.77,6.000946769554762,3.47 # 8.04 # 16.63 # -19.43 # -5.99 # 6.31 # -7.84 # 7.48 # 5.61 # 14.54 # 25.76 # 40.07 # 37.17 # 16.64 # 0.51 # 32.67 # 6.68 # -17.61 # 25.34 # 6.77 # -8.14 # 20.08 # -2.17,3.47 # 8.04 # 16.63 # 6.31 # 7.48 # 5.61 # 14.54 # 25.76 # 40.07 # 37.17 # 16.64 # 0.51 # 32.67 # 6.68 # 25.34 # 6.77 # 20.08,16.1,14.54,-19.43 # -5.99 # -7.84 # -17.61 # -8.14 # -2.17,-10.2,-7.99,117.0,17,6,40.07,-19.43,2006-07-27,30,70
MMSI,18,66.67,8.66,164.0,11.63,3.4025447550436527,5.12 # -12.07 # 22.9 # 14.94 # 22.62 # -10.21 # -13.85 # 12.29 # 15.07 # 16.68 # -13.59 # 15.83 # 26.41 # 10.96 # -24.01 # 59.94 # -0.84 # 7.72,5.12 # 22.9 # 14.94 # 22.62 # 12.29 # 15.07 # 16.68 # 15.83 # 26.41 # 10.96 # 59.94 # 7.72,19.21,15.45,-12.07 # -10.21 # -13.85 # -13.59 # -24.01 # -0.84,-12.43,-12.83,154.5,12,6,59.94,-24.01,2006-04-03,30,70
SPXC,14,78.57,4.47,158.0,12.63,1.1298835977936266,-46.1 # 10.78 # 5.54 # 22.68 # 12.71 # -52.13 # 19.94 # 12.55 # 21.64 # 14.56 # 22.47 # 10.4 # 14.88 # -7.29,10.78 # 5.54 # 22.68 # 12.71 # 19.94 # 12.55 # 21.64 # 14.56 # 22.47 # 10.4 # 14.88,15.29,14.56,-46.1 # -52.13 # -7.29,-35.18,-46.1,126.0,11,3,22.68,-52.13,2008-09-05,30,70
HALO,20,70.0,23.99,139.0,20.91,35.67810933924518,94.89 # -18.42 # 29.63 # 81.22 # 7.89 # 13.63 # -11.25 # 49.64 # 43.03 # 20.83 # 68.2 # -26.4 # 29.54 # 25.27 # 20.99 # 65.14 # -4.41 # 14.12 # -15.28 # -8.48,94.89 # 29.63 # 81.22 # 7.89 # 13.63 # 49.64 # 43.03 # 20.83 # 68.2 # 29.54 # 25.27 # 20.99 # 65.14 # 14.12,40.29,29.58,-18.42 # -11.25 # -26.4 # -4.41 # -15.28 # -8.48,-14.04,-13.27,107.0,14,6,94.89,-26.4,2006-05-23,30,70
VVV,8,75.0,4.7,140.0,6.82,1.4234161248717883,10.57 # 9.72 # -6.74 # 11.35 # 5.52 # 1.34 # 8.12 # -2.28,10.57 # 9.72 # 11.35 # 5.52 # 1.34 # 8.12,7.77,8.92,-6.74 # -2.28,-4.51,-4.51,100.0,6,2,11.35,-6.74,2016-10-24,30,70
