ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy,buy_threshold,sell_threshold
OMER,15,73.33,7.04,153.0,14.26,0.727439369495754,14.26 # 28.6 # 2.18 # 20.07 # -40.9 # 18.18 # 26.48 # 4.44 # 22.83 # -16.19 # 13.81 # 19.71 # -73.46 # 109.61 # -43.94,14.26 # 28.6 # 2.18 # 20.07 # 18.18 # 26.48 # 4.44 # 22.83 # 13.81 # 19.71 # 109.61,25.47,19.71,-40.9 # -16.19 # -73.46 # -43.94,-43.62,-42.42,150.0,11,4,109.61,-73.46,2009-10-29,30,70
TLYS,11,45.45,-0.02,192.0,-0.8,0.6851763080825959,37.52 # 18.88 # -40.48 # -21.77 # 27.77 # -9.99 # 24.5 # -17.05 # -33.31 # 14.55 # -0.8,37.52 # 18.88 # 27.77 # 24.5 # 14.55,24.64,24.5,-40.48 # -21.77 # -9.99 # -17.05 # -33.31 # -0.8,-20.57,-19.41,164.0,5,6,37.52,-40.48,2012-06-08,30,70
VNDA,18,55.56,1.86,193.0,6.78,0.48296733450034585,-24.38 # -56.73 # 3.3 # -15.27 # -50.45 # 35.46 # 48.59 # 43.47 # 29.63 # 13.75 # 12.92 # 10.26 # 34.41 # -17.58 # -6.79 # 27.13 # -6.64 # -47.62,3.3 # 35.46 # 48.59 # 43.47 # 29.63 # 13.75 # 12.92 # 10.26 # 34.41 # 27.13,25.89,28.38,-24.38 # -56.73 # -15.27 # -50.45 # -17.58 # -6.79 # -6.64 # -47.62,-28.18,-20.98,159.0,10,8,48.59,-56.73,2007-03-02,30,70
OVID,6,50.0,11.45,177.0,9.35,0.9352471206274583,-2.85 # 49.71 # -62.56 # 87.5 # 21.55 # -24.64,49.71 # 87.5 # 21.55,52.92,49.71,-2.85 # -62.56 # -24.64,-30.02,-24.64,122.5,3,3,87.5,-62.56,2017-06-02,30,70
BWFG,10,50.0,-1.44,264.0,0.73,0.7777404952627189,-10.0 # 3.85 # 1.85 # 4.4 # 14.36 # -0.38 # 20.62 # -8.1 # -31.75 # -9.2,3.85 # 1.85 # 4.4 # 14.36 # 20.62,9.02,4.4,-10.0 # -0.38 # -8.1 # -31.75 # -9.2,-11.89,-9.2,173.0,5,5,20.62,-31.75,2010-06-01,30,70
CRNT,20,60.0,5.67,177.0,4.27,1.1236871811296927,22.89 # 35.66 # -13.5 # -25.18 # -15.96 # 17.87 # -60.54 # 2.87 # -51.45 # 35.04 # 44.83 # -3.31 # 43.97 # 1.64 # 5.67 # 28.5 # 35.41 # -13.24 # -5.05 # 27.27,22.89 # 35.66 # 17.87 # 2.87 # 35.04 # 44.83 # 43.97 # 1.64 # 5.67 # 28.5 # 35.41 # 27.27,25.14,27.89,-13.5 # -25.18 # -15.96 # -60.54 # -51.45 # -3.31 # -13.24 # -5.05,-23.53,-14.73,148.0,12,8,44.83,-60.54,2006-06-28,30,70
TDUP,1,0.0,-86.53,374.0,-86.53,0.1347285773655349,-86.53,,,,-86.53,-86.53,-86.53,374.0,0,1,-86.53,-86.53,2021-12-06,30,70
III,15,66.67,1.87,209.0,5.36,0.8822493037698997,-31.49 # -5.19 # -37.81 # -28.65 # 32.0 # 33.43 # 5.36 # 6.49 # 9.35 # 3.55 # -21.75 # 35.26 # 18.18 # 8.41 # 0.89,32.0 # 33.43 # 5.36 # 6.49 # 9.35 # 3.55 # 35.26 # 18.18 # 8.41 # 0.89,15.29,8.88,-31.49 # -5.19 # -37.81 # -28.65 # -21.75,-24.98,-28.65,226.0,10,5,35.26,-37.81,2007-11-14,30,70
PLBC,12,66.67,5.52,228.0,10.24,0.7414947947299646,-5.51 # -77.14 # 30.88 # 21.97 # 67.39 # 12.53 # 12.02 # 8.47 # -4.94 # -13.67 # 12.22 # 2.03,30.88 # 21.97 # 67.39 # 12.53 # 12.02 # 8.47 # 12.22 # 2.03,20.94,12.37,-5.51 # -77.14 # -4.94 # -13.67,-25.32,-9.59,119.0,8,4,67.39,-77.14,2006-02-07,30,70
OCN,18,66.67,1.57,154.0,12.05,0.14641312451066718,-0.63 # -51.74 # 50.96 # 52.34 # 11.69 # 17.26 # -78.79 # -71.01 # 15.81 # 15.0 # -37.89 # -44.1 # 48.27 # 32.76 # 1.23 # 45.08 # 9.69 # 12.41,50.96 # 52.34 # 11.69 # 17.26 # 15.81 # 15.0 # 48.27 # 32.76 # 1.23 # 45.08 # 9.69 # 12.41,26.04,16.54,-0.63 # -51.74 # -78.79 # -71.01 # -37.89 # -44.1,-47.36,-47.92,96.0,12,6,52.34,-78.79,2007-01-29,30,70
INOD,14,42.86,2.37,247.0,-1.74,0.831839895405944,-8.33 # -4.68 # -38.91 # 22.36 # -24.22 # -1.08 # 13.33 # -35.71 # 16.0 # 81.25 # -2.41 # 22.61 # 2.27 # -9.36,22.36 # 13.33 # 16.0 # 81.25 # 22.61 # 2.27,26.3,19.18,-8.33 # -4.68 # -38.91 # -24.22 # -1.08 # -35.71 # -2.41 # -9.36,-15.59,-8.85,141.0,6,8,81.25,-38.91,2006-02-07,30,70
GOSS,6,83.33,9.46,162.0,32.13,0.3346865598044465,43.05 # 0.5 # 36.65 # 39.41 # 27.6 # -90.42,43.05 # 0.5 # 36.65 # 39.41 # 27.6,29.44,36.65,-90.42,-90.42,-90.42,157.5,5,1,43.05,-90.42,2019-04-22,30,70
DRTS,2,50.0,10.76,129.0,10.76,1.215161571242712,21.52 # 0.0,21.52 # 0.0,10.76,10.76,,,,129.0,1,1,21.52,0.0,2022-02-11,30,70
PFMT,12,66.67,5.27,157.0,5.33,0.7175628385953089,30.63 # 11.63 # 2.47 # -76.04 # -13.98 # 34.3 # -2.44 # -21.68 # 54.79 # 0.62 # 8.18 # 34.73,30.63 # 11.63 # 2.47 # 34.3 # 54.79 # 0.62 # 8.18 # 34.73,22.17,21.13,-76.04 # -13.98 # -2.44 # -21.68,-28.53,-17.83,101.5,8,4,54.79,-76.04,2012-11-14,30,70
VRA,16,62.5,4.42,129.0,7.86,1.3842339058991564,11.42 # -24.19 # 3.73 # 16.85 # -0.43 # -11.73 # 58.29 # 5.74 # 9.97 # -14.96 # 24.52 # 21.94 # 10.15 # -31.42 # -27.84 # 18.71,11.42 # 3.73 # 16.85 # 58.29 # 5.74 # 9.97 # 24.52 # 21.94 # 10.15 # 18.71,18.13,14.14,-24.19 # -0.43 # -11.73 # -14.96 # -31.42 # -27.84,-18.43,-19.57,113.0,10,6,58.29,-31.42,2011-06-03,30,70
TSE,9,33.33,-7.36,203.0,-6.34,0.27903252709359083,-4.51 # 24.24 # 36.36 # 29.54 # -29.27 # -6.34 # -57.35 # -13.3 # -45.64,24.24 # 36.36 # 29.54,30.05,29.54,-4.51 # -29.27 # -6.34 # -57.35 # -13.3 # -45.64,-26.07,-21.29,151.0,3,6,36.36,-57.35,2014-07-24,30,70
TWIN,18,61.11,6.04,152.0,24.74,0.9805010343657757,6.85 # -22.16 # -41.02 # 44.62 # -33.1 # 27.75 # -59.4 # 29.1 # 23.61 # 25.87 # -44.27 # -8.92 # 42.41 # 32.72 # 35.93 # -6.76 # 26.66 # 28.73,6.85 # 44.62 # 27.75 # 29.1 # 23.61 # 25.87 # 42.41 # 32.72 # 35.93 # 26.66 # 28.73,29.48,28.73,-22.16 # -41.02 # -33.1 # -59.4 # -44.27 # -8.92 # -6.76,-30.8,-33.1,93.0,11,7,44.62,-59.4,2007-07-30,30,70
FREY,5,60.0,-5.86,112.0,1.33,0.37246322405912446,1.33 # 19.61 # 25.63 # -0.42 # -75.44,1.33 # 19.61 # 25.63,15.52,19.61,-0.42 # -75.44,-37.93,-37.93,102.0,3,2,25.63,-75.44,2020-03-13,30,70
IMMR,16,68.75,9.23,197.0,14.6,3.123541757033044,21.95 # -1.04 # -31.52 # 37.64 # -2.71 # 32.99 # 18.28 # 19.93 # 24.58 # -28.75 # 17.24 # -3.98 # 11.95 # 11.36 # 18.41 # 1.43,21.95 # 37.64 # 32.99 # 18.28 # 19.93 # 24.58 # 17.24 # 11.95 # 11.36 # 18.41 # 1.43,19.61,18.41,-1.04 # -31.52 # -2.71 # -28.75 # -3.98,-13.6,-3.98,193.5,11,5,37.64,-31.52,2006-05-10,30,70
SWKH,14,57.14,14.24,269.0,7.09,2.4959802454879334,21.4 # -0.67 # -47.86 # -27.0 # 20.0 # 8.43 # 9.88 # 37.5 # -9.33 # -5.48 # 17.81 # 174.51 # 5.75 # -5.63,21.4 # 20.0 # 8.43 # 9.88 # 37.5 # 17.81 # 174.51 # 5.75,36.91,18.9,-0.67 # -47.86 # -27.0 # -9.33 # -5.48 # -5.63,-15.99,-7.48,251.5,8,6,174.51,-47.86,2007-01-26,30,70
ALCO,19,63.16,4.46,177.0,7.82,1.7624468964991264,7.3 # 20.11 # -5.56 # -16.22 # 0.69 # 8.09 # 22.92 # 11.27 # 18.97 # 23.67 # -1.04 # 10.75 # 15.53 # -33.51 # -2.67 # -6.29 # 7.82 # 29.14 # -26.18,7.3 # 20.11 # 0.69 # 8.09 # 22.92 # 11.27 # 18.97 # 23.67 # 10.75 # 15.53 # 7.82 # 29.14,14.69,13.4,-5.56 # -16.22 # -1.04 # -33.51 # -2.67 # -6.29 # -26.18,-13.07,-6.29,83.0,12,7,29.14,-33.51,2006-03-17,30,70
PKBK,17,70.59,4.31,164.0,12.59,1.605835628385959,8.21 # 17.8 # 13.48 # 29.15 # -30.6 # -24.54 # 12.59 # 13.01 # 22.38 # 0.49 # 13.67 # -2.67 # 13.55 # -22.72 # 12.75 # 8.35 # -11.57,8.21 # 17.8 # 13.48 # 29.15 # 12.59 # 13.01 # 22.38 # 0.49 # 13.67 # 13.55 # 12.75 # 8.35,13.79,13.25,-30.6 # -24.54 # -2.67 # -22.72 # -11.57,-18.42,-22.72,159.0,12,5,29.15,-30.6,2006-07-24,30,70
CTV,3,0.0,-29.52,147.0,-35.6,0.3421840999416505,-35.6 # -16.9 # -36.06,,,,-35.6 # -16.9 # -36.06,-29.52,-35.6,104.0,0,3,-16.9,-36.06,2021-11-24,30,70
BLDE,7,71.43,6.92,114.0,2.08,1.4256669784101024,3.29 # 0.7 # -12.28 # 50.4 # 2.08 # -13.79 # 18.05,3.29 # 0.7 # 50.4 # 2.08 # 18.05,14.9,3.29,-12.28 # -13.79,-13.03,-13.03,93.0,5,2,50.4,-13.79,2020-03-16,30,70
CMCL,17,64.71,21.22,178.0,16.67,15.447487628262754,-23.08 # 27.27 # 100.0 # 16.67 # 40.0 # 25.0 # 9.09 # 0.0 # 0.0 # -6.33 # 34.38 # 15.52 # -1.72 # -21.1 # 71.28 # 17.21 # 56.49,27.27 # 100.0 # 16.67 # 40.0 # 25.0 # 9.09 # 0.0 # 0.0 # 34.38 # 15.52 # 71.28 # 17.21 # 56.49,31.76,25.0,-23.08 # -6.33 # -1.72 # -21.1,-13.06,-13.71,210.0,11,6,100.0,-23.08,2006-06-14,30,70
FET,14,50.0,-2.98,148.0,-3.31,0.30979150915844805,10.34 # 11.9 # -33.76 # -28.82 # -16.96 # 12.0 # -33.88 # -55.95 # -21.67 # 61.25 # 13.43 # 28.68 # 29.43 # -17.66,10.34 # 11.9 # 12.0 # 61.25 # 13.43 # 28.68 # 29.43,23.86,13.43,-33.76 # -28.82 # -16.96 # -33.88 # -55.95 # -21.67 # -17.66,-29.81,-28.82,122.5,7,7,61.25,-55.95,2013-08-15,30,70
SCPH,8,62.5,15.16,109.0,20.8,2.330842982589302,30.21 # 55.78 # -32.02 # -5.1 # 17.5 # 24.1 # 48.56 # -17.77,30.21 # 55.78 # 17.5 # 24.1 # 48.56,35.23,30.21,-32.02 # -5.1 # -17.77,-18.3,-17.77,122.5,5,3,55.78,-32.02,2017-12-22,30,70
DOUG,2,0.0,-33.63,328.0,-33.63,0.4199829212661546,-47.97 # -19.28,,,,-47.97 # -19.28,-33.63,-33.63,328.5,0,2,-19.28,-47.97,2022-01-21,30,70
BPRN,5,20.0,-4.99,154.0,-5.89,0.7585274634210185,-5.89 # -4.56 # -17.34 # 9.76 # -6.92,9.76,9.76,9.76,-5.89 # -4.56 # -17.34 # -6.92,-8.68,-6.4,148.0,1,4,9.76,-17.34,2018-09-12,30,70
STRS,13,61.54,3.52,230.0,10.99,0.5683142499960592,21.5 # -77.72 # 29.58 # -7.33 # 54.82 # 14.58 # 18.48 # -5.59 # 3.09 # 20.11 # -2.63 # 10.99 # -34.16,21.5 # 29.58 # 54.82 # 14.58 # 18.48 # 3.09 # 20.11 # 10.99,21.64,19.3,-77.72 # -7.33 # -5.59 # -2.63 # -34.16,-25.49,-7.33,153.0,8,5,54.82,-77.72,2006-11-13,30,70
BCBP,11,54.55,-2.63,285.0,3.06,0.601515308920209,13.22 # -34.27 # 3.06 # 22.04 # -3.38 # 9.85 # -18.97 # 13.47 # -26.46 # 13.83 # -21.34,13.22 # 3.06 # 22.04 # 9.85 # 13.47 # 13.83,12.58,13.35,-34.27 # -3.38 # -18.97 # -26.46 # -21.34,-20.88,-21.34,157.0,6,5,22.04,-34.27,2006-08-10,30,70
CVGI,18,44.44,-8.68,183.0,-6.05,0.033603995085477935,-32.86 # -87.81 # 34.35 # -26.99 # 3.92 # 12.38 # 29.79 # -16.59 # -48.32 # 30.15 # 21.26 # 1.15 # -5.3 # 12.6 # -35.34 # -17.31 # -6.81 # -24.46,34.35 # 3.92 # 12.38 # 29.79 # 30.15 # 21.26 # 1.15 # 12.6,18.2,16.93,-32.86 # -87.81 # -26.99 # -16.59 # -48.32 # -5.3 # -35.34 # -17.31 # -6.81 # -24.46,-30.18,-25.72,140.0,8,10,34.35,-87.81,2007-03-06,30,70
ASUR,15,60.0,-3.47,178.0,8.96,0.11584801762493745,-67.05 # 5.21 # -79.21 # 31.11 # -10.04 # 13.99 # 14.89 # 32.01 # 8.96 # 26.87 # -49.41 # 35.63 # 9.59 # -22.41 # -2.28,5.21 # 31.11 # 13.99 # 14.89 # 32.01 # 8.96 # 26.87 # 35.63 # 9.59,19.81,14.89,-67.05 # -79.21 # -10.04 # -49.41 # -22.41 # -2.28,-38.4,-35.91,158.0,9,6,35.63,-79.21,2006-02-07,30,70
PDLB,6,33.33,-0.71,163.0,-1.71,0.9417502426714566,6.92 # -1.22 # -10.91 # -2.2 # -7.48 # 10.61,6.92 # 10.61,8.77,8.77,-1.22 # -10.91 # -2.2 # -7.48,-5.45,-4.84,134.0,2,4,10.61,-10.91,2018-02-12,30,70
INO,20,55.0,15.66,181.0,17.06,1.537929252755946,26.17 # 31.23 # -47.25 # -25.33 # 233.33 # 11.67 # -39.58 # 44.0 # 37.78 # 27.78 # -0.63 # 22.45 # -10.12 # -8.44 # 27.11 # -20.98 # 84.89 # 38.99 # -62.06 # -57.81,26.17 # 31.23 # 233.33 # 11.67 # 44.0 # 37.78 # 27.78 # 22.45 # 27.11 # 84.89 # 38.99,53.22,31.23,-47.25 # -25.33 # -39.58 # -0.63 # -10.12 # -8.44 # -20.98 # -62.06 # -57.81,-30.25,-25.33,154.0,11,9,233.33,-62.06,2006-05-04,30,70
SMID,22,63.64,5.17,158.0,7.51,2.152403704763879,6.67 # 27.27 # -13.27 # -17.29 # -3.87 # -11.43 # -20.3 # 33.76 # 17.37 # 6.15 # 17.84 # 19.82 # 4.67 # 13.48 # 8.35 # -7.23 # -26.78 # 29.03 # -26.1 # 23.0 # 21.09 # 11.53,6.67 # 27.27 # 33.76 # 17.37 # 6.15 # 17.84 # 19.82 # 4.67 # 13.48 # 8.35 # 29.03 # 23.0 # 21.09 # 11.53,17.14,17.6,-13.27 # -17.29 # -3.87 # -11.43 # -20.3 # -7.23 # -26.78 # -26.1,-15.78,-15.28,112.5,14,8,33.76,-26.78,2006-05-16,30,70
HBIO,18,66.67,8.94,206.0,13.01,2.773346839349362,6.52 # -17.78 # 21.97 # -2.0 # 14.11 # 14.88 # 17.42 # -29.9 # 32.42 # 11.91 # 26.09 # 44.71 # -13.4 # -9.49 # 47.27 # 33.82 # -45.49 # 7.85,6.52 # 21.97 # 14.11 # 14.88 # 17.42 # 32.42 # 11.91 # 26.09 # 44.71 # 47.27 # 33.82 # 7.85,23.25,19.7,-17.78 # -2.0 # -29.9 # -13.4 # -9.49 # -45.49,-19.68,-15.59,144.5,12,6,47.27,-45.49,2006-02-08,30,70
NNBR,20,55.0,-0.59,152.0,4.11,0.1258284489641848,-3.09 # -79.13 # 31.5 # 35.05 # 41.09 # -46.31 # 26.4 # -4.35 # 39.95 # -30.22 # 41.07 # 13.75 # -17.05 # -47.36 # 7.29 # -28.45 # -57.41 # 55.71 # 8.76 # 0.93,31.5 # 35.05 # 41.09 # 26.4 # 39.95 # 41.07 # 13.75 # 7.29 # 55.71 # 8.76 # 0.93,27.41,31.5,-3.09 # -79.13 # -46.31 # -4.35 # -30.22 # -17.05 # -47.36 # -28.45 # -57.41,-34.82,-30.22,81.0,11,9,55.71,-79.13,2006-11-20,30,70
GHM,17,70.59,3.87,155.0,11.07,1.0465244401808884,21.33 # 5.93 # -59.06 # 18.53 # 18.09 # 11.07 # 8.93 # 15.72 # -30.82 # 14.64 # 11.06 # 26.88 # -10.59 # 20.72 # -16.44 # -25.61 # 35.34,21.33 # 5.93 # 18.53 # 18.09 # 11.07 # 8.93 # 15.72 # 14.64 # 11.06 # 26.88 # 20.72 # 35.34,17.35,16.9,-59.06 # -30.82 # -10.59 # -16.44 # -25.61,-28.5,-25.61,131.0,12,5,35.34,-59.06,2006-02-08,30,70
KNOP,10,60.0,-3.38,175.0,1.48,0.4898209882214167,16.8 # -0.91 # -22.62 # 2.76 # 0.2 # 4.91 # -11.76 # 30.1 # 4.53 # -57.8,16.8 # 2.76 # 0.2 # 4.91 # 30.1 # 4.53,9.88,4.72,-0.91 # -22.62 # -11.76 # -57.8,-23.28,-17.19,148.0,6,4,30.1,-57.8,2013-06-24,30,70
TNYA,2,0.0,-63.89,265.0,-63.89,0.10734312206844071,-79.08 # -48.7,,,,-79.08 # -48.7,-63.89,-63.89,265.0,0,2,-48.7,-79.08,2022-01-06,30,70
EHTH,17,70.59,3.25,163.0,5.78,0.2086511742911343,11.84 # 5.69 # -11.75 # 3.14 # -22.45 # 28.81 # 10.77 # 3.39 # -61.75 # 7.27 # 28.14 # -8.24 # 5.78 # 15.2 # 50.23 # -89.24 # 78.39,11.84 # 5.69 # 3.14 # 28.81 # 10.77 # 3.39 # 7.27 # 28.14 # 5.78 # 15.2 # 50.23 # 78.39,20.72,11.31,-11.75 # -22.45 # -61.75 # -8.24 # -89.24,-38.69,-22.45,124.0,12,5,78.39,-89.24,2007-05-16,30,70
PRLD,2,0.0,-52.76,321.0,-52.76,0.14328959945780312,-81.02 # -24.49,,,,-81.02 # -24.49,-52.76,-52.76,321.0,0,2,-24.49,-81.02,2021-03-29,30,70
LWAY,19,68.42,12.15,167.0,9.98,3.5722365624700845,55.7 # -12.47 # 22.74 # 17.74 # 3.25 # 8.82 # -3.94 # 11.17 # 8.19 # -18.55 # 11.43 # -23.3 # -60.81 # -3.8 # 100.0 # 53.39 # 26.02 # 25.2 # 9.98,55.7 # 22.74 # 17.74 # 3.25 # 8.82 # 11.17 # 8.19 # 11.43 # 100.0 # 53.39 # 26.02 # 25.2 # 9.98,27.2,17.74,-12.47 # -3.94 # -18.55 # -23.3 # -60.81 # -3.8,-20.48,-15.51,110.0,13,6,100.0,-60.81,2006-05-25,30,70
SERA,2,0.0,-46.93,133.0,-46.93,0.20132049820600373,-75.27 # -18.6,,,,-75.27 # -18.6,-46.93,-46.93,133.0,0,2,-18.6,-75.27,2021-12-15,30,70
RCFA,1,100.0,1.12,66.0,1.12,1.0112016918299438,1.12,1.12,1.12,1.12,,,,66.0,1,0,1.12,1.12,2022-01-25,30,70
GROY,1,0.0,-66.98,872.0,-66.98,0.330232533511116,-66.98,,,,-66.98,-66.98,-66.98,872.0,0,1,-66.98,-66.98,2021-08-23,30,70
APEI,20,65.0,6.32,154.0,10.97,1.7779402923669834,22.58 # 3.91 # 13.46 # 47.93 # 17.22 # -3.9 # 11.37 # 9.96 # -12.4 # -40.7 # 10.58 # 30.16 # -6.33 # 24.38 # 12.11 # 44.99 # 32.95 # -14.24 # -36.65 # -41.05,22.58 # 3.91 # 13.46 # 47.93 # 17.22 # 11.37 # 9.96 # 10.58 # 30.16 # 24.38 # 12.11 # 44.99 # 32.95,21.66,17.22,-3.9 # -12.4 # -40.7 # -6.33 # -14.24 # -36.65 # -41.05,-22.18,-14.24,97.5,13,7,47.93,-41.05,2008-03-04,30,70
