ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy,buy_threshold,sell_threshold
BSVN,2,50.0,-14.89,442.0,-14.89,0.6885439366750845,-33.83 # 4.05,4.05,4.05,4.05,-33.83,-33.83,-33.83,442.0,1,1,4.05,-33.83,2018-10-11,30,70
DLHC,9,44.44,13.43,238.0,-0.7,2.3197335052248476,-21.85 # -0.83 # 17.19 # -0.7 # 58.29 # 31.79 # -7.72 # 62.43 # -17.73,17.19 # 58.29 # 31.79 # 62.43,42.42,45.04,-21.85 # -0.83 # -0.7 # -7.72 # -17.73,-9.77,-7.72,195.0,4,5,62.43,-21.85,2007-01-17,30,70
GENC,12,83.33,8.59,194.0,10.96,2.131425197484216,20.21 # -37.8 # 35.0 # 1.54 # 9.6 # 12.95 # -18.45 # 12.32 # 26.42 # 8.05 # 3.34 # 29.93,20.21 # 35.0 # 1.54 # 9.6 # 12.95 # 12.32 # 26.42 # 8.05 # 3.34 # 29.93,15.94,12.64,-37.8 # -18.45,-28.13,-28.13,205.5,10,2,35.0,-37.8,2007-03-26,30,70
OVLY,11,54.55,8.11,200.0,11.31,1.473228712053857,-39.29 # -3.31 # -34.33 # 61.18 # 21.02 # 16.33 # -3.62 # -17.45 # 53.39 # 11.31 # 23.99,61.18 # 21.02 # 16.33 # 53.39 # 11.31 # 23.99,31.2,22.51,-39.29 # -3.31 # -34.33 # -3.62 # -17.45,-19.6,-17.45,153.0,6,5,61.18,-39.29,2006-02-07,30,70
KFS,19,47.37,2.93,160.0,-4.1,0.48900892157855025,7.0 # -4.1 # 7.78 # -14.64 # -75.62 # 82.76 # -27.16 # -11.64 # 8.57 # 42.39 # -8.83 # -15.93 # 3.7 # -8.16 # -19.44 # -15.55 # 60.87 # 36.32 # 7.3,7.0 # 7.78 # 82.76 # 8.57 # 42.39 # 3.7 # 60.87 # 36.32 # 7.3,28.52,8.57,-4.1 # -14.64 # -75.62 # -27.16 # -11.64 # -8.83 # -15.93 # -8.16 # -19.44 # -15.55,-20.11,-15.09,149.0,9,10,82.76,-75.62,2006-06-07,30,70
CMTL,19,47.37,-1.29,177.0,-5.89,0.42331533904289775,16.27 # 15.81 # 38.93 # 0.34 # -21.77 # 25.01 # -11.96 # 20.83 # 25.17 # 14.24 # -7.1 # 29.28 # -37.12 # -42.91 # -5.89 # -29.74 # -35.63 # -7.94 # -10.26,16.27 # 15.81 # 38.93 # 0.34 # 25.01 # 20.83 # 25.17 # 14.24 # 29.28,20.65,20.83,-21.77 # -11.96 # -7.1 # -37.12 # -42.91 # -5.89 # -29.74 # -35.63 # -7.94 # -10.26,-21.03,-16.86,181.0,9,10,38.93,-42.91,2006-02-07,30,70
CNDA,2,100.0,1.64,174.0,1.64,1.0329597159310644,0.52 # 2.76,0.52 # 2.76,1.64,1.64,,,,173.5,2,0,2.76,0.52,2022-01-14,30,70
LXFR,13,69.23,3.98,159.0,9.0,1.3947460594176915,11.99 # -32.83 # 3.85 # 13.91 # 15.26 # 24.03 # 17.99 # -16.23 # 6.16 # 17.0 # 9.0 # -2.4 # -16.05,11.99 # 3.85 # 13.91 # 15.26 # 24.03 # 17.99 # 6.16 # 17.0 # 9.0,13.24,13.91,-32.83 # -16.23 # -2.4 # -16.05,-16.88,-16.14,91.0,9,4,24.03,-32.83,2013-09-30,30,70
SLDP,3,33.33,-8.27,148.0,-11.27,0.6862218613146802,24.2 # -37.73 # -11.27,24.2,24.2,24.2,-37.73 # -11.27,-24.5,-24.5,92.0,1,2,24.2,-37.73,2022-05-11,30,70
ABOS,3,33.33,-25.0,163.0,-28.82,0.28795433041952073,-66.32 # 20.14 # -28.82,20.14,20.14,20.14,-66.32 # -28.82,-47.57,-47.57,98.0,1,2,20.14,-66.32,2021-07-28,30,70
OM,4,50.0,-17.64,199.0,-11.86,0.19737303616906113,32.83 # 9.58 # -33.31 # -79.67,32.83 # 9.58,21.2,21.2,-33.31 # -79.67,-56.49,-56.49,213.0,2,2,32.83,-79.67,2020-10-06,30,70
CLAR,18,66.67,1.41,143.0,6.8,0.8193887530761029,4.11 # 5.76 # -26.74 # -5.03 # 5.0 # 7.85 # 12.21 # -17.07 # -39.75 # 18.32 # 7.91 # 29.41 # 19.73 # 27.6 # 20.64 # 10.91 # -42.91 # -12.63,4.11 # 5.76 # 5.0 # 7.85 # 12.21 # 18.32 # 7.91 # 29.41 # 19.73 # 27.6 # 20.64 # 10.91,14.12,11.56,-26.74 # -5.03 # -17.07 # -39.75 # -42.91 # -12.63,-24.02,-21.91,127.5,12,6,29.41,-42.91,2006-02-07,30,70
TLSI,2,50.0,-19.67,355.0,-19.67,0.6045416457597222,0.51 # -39.85,0.51,0.51,0.51,-39.85,-39.85,-39.85,355.0,1,1,0.51,-39.85,2021-03-04,30,70
LSAK,22,63.64,1.61,170.0,5.94,0.5165364112667619,8.87 # 5.32 # 20.12 # -0.18 # -41.94 # 35.7 # -54.62 # 6.35 # -0.51 # 22.03 # 23.4 # -33.68 # 18.53 # 11.58 # 0.91 # -59.91 # 5.52 # 17.43 # 47.25 # -8.38 # 14.29 # -2.72,8.87 # 5.32 # 20.12 # 35.7 # 6.35 # 22.03 # 23.4 # 18.53 # 11.58 # 0.91 # 5.52 # 17.43 # 47.25 # 14.29,16.95,15.86,-0.18 # -41.94 # -54.62 # -0.51 # -33.68 # -59.91 # -8.38 # -2.72,-25.24,-21.03,125.0,14,8,47.25,-59.91,2006-03-28,30,70
INBK,20,65.0,0.73,186.0,6.2,0.6550154864411081,-31.75 # -18.78 # 5.0 # 2.31 # 18.75 # 38.89 # 2.33 # -1.46 # 12.94 # 20.14 # 12.5 # -17.87 # 9.91 # -1.04 # 7.89 # -30.19 # 12.13 # 7.39 # -55.93 # 21.36,5.0 # 2.31 # 18.75 # 38.89 # 2.33 # 12.94 # 20.14 # 12.5 # 9.91 # 7.89 # 12.13 # 7.39 # 21.36,13.19,12.13,-31.75 # -18.78 # -1.46 # -17.87 # -1.04 # -30.19 # -55.93,-22.43,-18.78,110.5,13,7,38.89,-55.93,2006-04-27,30,70
CBAN,10,60.0,-6.85,323.0,8.01,0.29967984563089034,9.13 # -31.47 # -23.73 # 21.67 # -55.99 # 11.59 # 20.59 # 6.89 # 11.72 # -38.93,9.13 # 21.67 # 11.59 # 20.59 # 6.89 # 11.72,13.6,11.66,-31.47 # -23.73 # -55.99 # -38.93,-37.53,-35.2,311.0,6,4,21.67,-55.99,2006-04-25,30,70
FHTX,6,50.0,24.2,96.0,9.12,2.586522699710734,-6.37 # 44.52 # 112.19 # -19.16 # 24.61 # -10.57,44.52 # 112.19 # 24.61,60.44,44.52,-6.37 # -19.16 # -10.57,-12.03,-10.57,89.0,3,3,112.19,-19.16,2021-03-09,30,70
