ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy
EXPO,42,45.24,2.31,101.0,-1.93,1.9320075450970204,3.88 # -5.23 # 5.98 # 41.57 # 10.29 # -14.73 # -8.11 # -3.33 # -10.14 # -4.76 # -3.34 # -1.74 # 21.86 # -0.73 # -7.11 # 3.49 # -3.2 # 5.45 # -14.97 # 39.69 # -2.76 # -3.38 # -3.97 # 13.72 # -2.13 # 3.15 # 3.59 # 1.35 # -3.65 # 7.96 # 24.01 # -9.99 # -4.71 # 27.83 # -10.15 # 1.04 # 10.92 # 8.03 # -13.96 # -8.57 # -3.13 # 7.13,3.88 # 5.98 # 41.57 # 10.29 # 21.86 # 3.49 # 5.45 # 39.69 # 13.72 # 3.15 # 3.59 # 1.35 # 7.96 # 24.01 # 27.83 # 1.04 # 10.92 # 8.03 # 7.13,12.68,7.96,-5.23 # -14.73 # -8.11 # -3.33 # -10.14 # -4.76 # -3.34 # -1.74 # -0.73 # -7.11 # -3.2 # -14.97 # -2.76 # -3.38 # -3.97 # -2.13 # -3.65 # -9.99 # -4.71 # -10.15 # -13.96 # -8.57 # -3.13,-6.25,-4.71,82.5,19,23,41.57,-14.97,2006-01-30
ALIT,7,28.57,-1.98,65.0,-1.81,0.8649029855486693,-1.81 # -5.04 # -0.95 # 4.49 # -7.1 # -4.67 # 1.21,4.49 # 1.21,2.85,2.85,-1.81 # -5.04 # -0.95 # -7.1 # -4.67,-3.91,-4.67,73.0,2,5,4.49,-7.1,2020-07-21
NFG,33,42.42,1.74,96.0,-2.52,1.4149692973165662,-0.63 # 7.69 # 17.87 # 1.79 # 12.83 # 39.89 # -7.1 # 31.69 # -23.93 # 3.6 # -6.67 # 7.85 # 8.23 # -2.52 # -6.94 # 10.44 # -4.27 # -3.93 # -4.99 # -3.66 # 0.84 # -8.26 # -0.51 # -4.02 # -5.05 # -8.97 # 16.27 # -3.82 # 12.05 # 2.39 # -9.44 # -2.61 # -8.76,7.69 # 17.87 # 1.79 # 12.83 # 39.89 # 31.69 # 3.6 # 7.85 # 8.23 # 10.44 # 0.84 # 16.27 # 12.05 # 2.39,12.39,9.33,-0.63 # -7.1 # -23.93 # -6.67 # -2.52 # -6.94 # -4.27 # -3.93 # -4.99 # -3.66 # -8.26 # -0.51 # -4.02 # -5.05 # -8.97 # -3.82 # -9.44 # -2.61 # -8.76,-6.11,-4.99,81.0,14,19,39.89,-23.93,2006-01-23
SLGN,47,29.79,-0.04,75.0,-3.22,0.824963084609119,2.58 # -0.4 # -0.41 # -5.16 # 32.88 # -8.77 # -3.86 # -5.86 # -9.72 # 3.38 # 5.53 # 30.16 # 10.45 # -4.65 # -7.02 # -0.89 # -5.2 # 6.94 # -4.39 # -7.56 # 1.85 # -1.24 # -0.14 # -3.04 # 7.84 # -6.32 # -8.46 # -3.21 # -4.06 # -3.4 # 18.04 # -4.07 # -6.68 # 6.82 # -2.25 # -0.91 # -3.61 # 5.65 # 10.32 # -3.31 # -4.18 # -3.22 # -4.75 # -10.46 # 8.61 # -10.75 # -4.99,2.58 # 32.88 # 3.38 # 5.53 # 30.16 # 10.45 # 6.94 # 1.85 # 7.84 # 18.04 # 6.82 # 5.65 # 10.32 # 8.61,10.79,7.39,-0.4 # -0.41 # -5.16 # -8.77 # -3.86 # -5.86 # -9.72 # -4.65 # -7.02 # -0.89 # -5.2 # -4.39 # -7.56 # -1.24 # -0.14 # -3.04 # -6.32 # -8.46 # -3.21 # -4.06 # -3.4 # -4.07 # -6.68 # -2.25 # -0.91 # -3.61 # -3.31 # -4.18 # -3.22 # -4.75 # -10.46 # -10.75 # -4.99,-4.63,-4.18,49.0,14,33,32.88,-10.75,2006-01-19
ASO,7,57.14,26.94,108.0,9.8,3.2018624675338296,166.01 # -5.81 # -10.67 # 9.8 # 22.27 # -3.9 # 10.88,166.01 # 9.8 # 22.27 # 10.88,52.24,16.57,-5.81 # -10.67 # -3.9,-6.79,-5.81,105.0,4,3,166.01,-10.67,2020-10-06
EEFT,32,31.25,4.63,108.0,-3.76,1.883382224920266,9.9 # -21.83 # -9.2 # -12.5 # -2.98 # 77.17 # -0.12 # -4.54 # -6.75 # -0.64 # -7.14 # -1.41 # -1.09 # -6.8 # 117.9 # 8.4 # -4.97 # 29.94 # -6.33 # -4.65 # 8.75 # -11.98 # 16.56 # 27.93 # -5.64 # -13.2 # 20.11 # -9.13 # -26.14 # -16.15 # -1.19 # 5.85,9.9 # 77.17 # 117.9 # 8.4 # 29.94 # 8.75 # 16.56 # 27.93 # 20.11 # 5.85,32.25,18.33,-21.83 # -9.2 # -12.5 # -2.98 # -0.12 # -4.54 # -6.75 # -0.64 # -7.14 # -1.41 # -1.09 # -6.8 # -4.97 # -6.33 # -4.65 # -11.98 # -5.64 # -13.2 # -9.13 # -26.14 # -16.15 # -1.19,-7.93,-6.54,76.5,10,22,117.9,-26.14,2006-01-19
MMSI,36,41.67,3.09,103.0,-2.43,1.9527380603000462,-8.77 # 10.33 # -6.14 # 24.84 # -2.8 # -7.15 # 3.05 # 10.97 # -3.17 # -2.05 # -4.98 # 21.41 # -13.7 # -6.31 # 4.45 # -3.15 # 8.97 # 14.48 # -14.69 # 29.89 # -3.96 # 10.44 # 59.29 # -1.58 # 28.11 # -5.69 # -9.73 # -10.42 # -30.0 # -3.09 # 32.53 # -9.32 # -10.88 # -1.25 # 0.35 # 10.88,10.33 # 24.84 # 3.05 # 10.97 # 21.41 # 4.45 # 8.97 # 14.48 # 29.89 # 10.44 # 59.29 # 28.11 # 32.53 # 0.35 # 10.88,18.0,10.97,-8.77 # -6.14 # -2.8 # -7.15 # -3.17 # -2.05 # -4.98 # -13.7 # -6.31 # -3.15 # -14.69 # -3.96 # -1.58 # -5.69 # -9.73 # -10.42 # -30.0 # -3.09 # -9.32 # -10.88 # -1.25,-7.56,-6.14,67.0,15,21,59.29,-30.0,2006-01-31
SPXC,39,51.28,4.24,104.0,2.07,3.500922908591054,10.0 # -5.8 # -3.1 # -2.46 # 54.91 # 6.53 # 18.33 # -15.21 # -11.2 # 8.67 # -10.43 # -1.78 # 26.93 # -11.89 # 17.62 # -8.75 # 4.78 # -11.66 # 27.24 # -2.57 # 14.94 # -3.66 # 2.07 # 8.67 # -7.64 # -9.19 # 8.58 # -4.95 # 9.51 # -15.66 # 24.37 # 28.23 # -4.88 # -12.54 # 4.03 # 11.79 # 3.55 # -2.16 # 20.3,10.0 # 54.91 # 6.53 # 18.33 # 8.67 # 26.93 # 17.62 # 4.78 # 27.24 # 14.94 # 2.07 # 8.67 # 8.58 # 9.51 # 24.37 # 28.23 # 4.03 # 11.79 # 3.55 # 20.3,15.55,10.89,-5.8 # -3.1 # -2.46 # -15.21 # -11.2 # -10.43 # -1.78 # -11.89 # -8.75 # -11.66 # -2.57 # -3.66 # -7.64 # -9.19 # -4.95 # -15.66 # -4.88 # -12.54 # -2.16,-7.66,-7.64,93.0,20,19,54.91,-15.66,2006-01-19
HALO,38,39.47,5.91,79.0,-7.1,1.4043653556920206,7.73 # 27.91 # 0.0 # 248.3 # 0.59 # -26.13 # 5.34 # 2.71 # -12.65 # -13.74 # -6.77 # -10.3 # -17.16 # 0.86 # -19.6 # -19.62 # 81.01 # 27.27 # -10.69 # -30.09 # -12.28 # -10.98 # -4.93 # 11.41 # -5.03 # 7.31 # -8.44 # -9.27 # -9.22 # -14.0 # 7.47 # 54.08 # -14.14 # -8.67 # 9.63 # 12.44 # -7.42 # -8.2,7.73 # 27.91 # 0.0 # 248.3 # 0.59 # 5.34 # 2.71 # 0.86 # 81.01 # 27.27 # 11.41 # 7.31 # 7.47 # 54.08 # 9.63 # 12.44,31.5,8.68,-26.13 # -12.65 # -13.74 # -6.77 # -10.3 # -17.16 # -19.6 # -19.62 # -10.69 # -30.09 # -12.28 # -10.98 # -4.93 # -5.03 # -8.44 # -9.27 # -9.22 # -14.0 # -14.14 # -8.67 # -7.42 # -8.2,-12.7,-10.84,62.0,15,23,248.3,-30.09,2006-01-19
VVV,20,20.0,-2.62,72.0,-3.15,0.5369035804467804,-7.54 # -6.66 # -3.16 # -3.14 # -4.64 # -0.92 # -1.19 # -1.01 # -11.62 # 6.71 # -5.67 # -20.67 # -4.34 # 29.09 # 5.22 # -11.21 # 3.73 # -1.57 # -13.03 # -0.74,6.71 # 29.09 # 5.22 # 3.73,11.19,5.97,-7.54 # -6.66 # -3.16 # -3.14 # -4.64 # -0.92 # -1.19 # -1.01 # -11.62 # -5.67 # -20.67 # -4.34 # -11.21 # -1.57 # -13.03 # -0.74,-6.07,-4.49,66.0,4,16,29.09,-20.67,2016-09-28
