ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy
POCI,48,18.75,-11.16,57.0,-10.98,1.2188758924006678e-05,40.62 # -31.91 # -10.64 # -34.15 # 11.11 # -17.78 # -73.0 # -37.5 # -22.68 # -98.75 # -50.89 # -18.67 # -25.71 # -52.94 # 0.0 # 28.57 # 0.0 # -21.11 # -11.11 # -13.79 # -21.43 # -23.29 # -6.67 # -33.33 # 0.0 # -11.54 # -42.86 # -25.0 # -35.94 # -12.73 # 135.85 # -18.54 # 4.03 # -10.3 # -12.11 # -8.97 # 33.33 # 30.77 # -8.3 # -5.5 # 3.93 # -1.5 # -8.72 # 13.55 # -7.41 # -5.74 # -10.85 # -5.94,40.62 # 11.11 # 0.0 # 28.57 # 0.0 # 0.0 # 135.85 # 4.03 # 33.33 # 30.77 # 3.93 # 13.55,25.15,12.33,-31.91 # -10.64 # -34.15 # -17.78 # -73.0 # -37.5 # -22.68 # -98.75 # -50.89 # -18.67 # -25.71 # -52.94 # -21.11 # -11.11 # -13.79 # -21.43 # -23.29 # -6.67 # -33.33 # -11.54 # -42.86 # -25.0 # -35.94 # -12.73 # -18.54 # -10.3 # -12.11 # -8.97 # -8.3 # -5.5 # -1.5 # -8.72 # -7.41 # -5.74 # -10.85 # -5.94,-23.26,-18.16,35.5,9,39,135.85,-98.75,2006-01-23
SCTL,16,25.0,5.34,84.0,-7.54,0.7478821875191193,-19.18 # 148.48 # -2.73 # -2.84 # -6.3 # -8.78 # 10.55 # -46.32 # -15.56 # -11.25 # -23.24 # 87.58 # -5.08 # -22.89 # 23.14 # -20.13,148.48 # 10.55 # 87.58 # 23.14,67.44,55.36,-19.18 # -2.73 # -2.84 # -6.3 # -8.78 # -46.32 # -15.56 # -11.25 # -23.24 # -5.08 # -22.89 # -20.13,-15.36,-13.41,86.5,4,12,148.48,-46.32,2014-07-01
ACHL,2,0.0,-15.86,32.0,-15.86,0.6914469764506987,-28.71 # -3.01,,,,-28.71 # -3.01,-15.86,-15.86,31.5,0,2,-3.01,-28.71,2022-08-15
NEPH,30,36.67,12.88,70.0,-6.18,1.6028813342145547,30.49 # -7.2 # 19.23 # -41.38 # -18.6 # 375.86 # -29.82 # -31.72 # 66.99 # -21.43 # 29.03 # -27.59 # 13.04 # -12.0 # -36.0 # -2.78 # 15.38 # -4.26 # 3.45 # -15.94 # -13.43 # 58.53 # -5.16 # -19.68 # -8.81 # 1.13 # -17.05 # -4.2 # -7.84 # 98.27,30.49 # 19.23 # 375.86 # 66.99 # 29.03 # 13.04 # 15.38 # 3.45 # 58.53 # 1.13 # 98.27,64.67,29.03,-7.2 # -41.38 # -18.6 # -29.82 # -31.72 # -21.43 # -27.59 # -12.0 # -36.0 # -2.78 # -4.26 # -15.94 # -13.43 # -5.16 # -19.68 # -8.81 # -17.05 # -4.2 # -7.84,-17.1,-15.94,72.0,11,19,375.86,-41.38,2006-01-19
RVP,24,33.33,13.36,92.0,-7.48,2.6072126357108854,-1.76 # -1.41 # -9.04 # -24.42 # 89.33 # -15.98 # -15.18 # -24.36 # -0.91 # 178.05 # 10.69 # 15.28 # -15.92 # -13.09 # -5.93 # -47.29 # 17.11 # -21.62 # -10.53 # 68.92 # 151.77 # 38.3 # -12.54 # -28.72,89.33 # 178.05 # 10.69 # 15.28 # 17.11 # 68.92 # 151.77 # 38.3,71.18,53.61,-1.76 # -1.41 # -9.04 # -24.42 # -15.98 # -15.18 # -24.36 # -0.91 # -15.92 # -13.09 # -5.93 # -47.29 # -21.62 # -10.53 # -12.54 # -28.72,-15.54,-14.14,60.0,8,16,178.05,-47.29,2006-01-19
DARE,15,26.67,-13.49,64.0,-10.34,0.06221966447787329,16.65 # -33.33 # -50.17 # -50.48 # -44.86 # -14.25 # 13.1 # -2.86 # 0.98 # -29.33 # 29.69 # -10.84 # -6.51 # -10.34 # -9.73,16.65 # 13.1 # 0.98 # 29.69,15.1,14.87,-33.33 # -50.17 # -50.48 # -44.86 # -14.25 # -2.86 # -29.33 # -10.84 # -6.51 # -10.34 # -9.73,-23.88,-14.25,50.0,4,11,29.69,-50.48,2014-11-13
MESA,6,16.67,18.68,84.0,-8.91,1.2329086522757662,-1.76 # -35.51 # -10.41 # 184.79 # -7.41 # -17.62,184.79,184.79,184.79,-1.76 # -35.51 # -10.41 # -7.41 # -17.62,-14.54,-10.41,67.5,1,5,184.79,-35.51,2018-08-23
KIRK,27,37.04,65.62,101.0,-4.36,33.26212566471473,21.74 # -8.44 # -0.4 # -4.36 # 50.38 # -22.33 # 444.68 # -10.49 # 9.55 # -11.5 # 17.21 # 63.77 # -2.3 # -9.3 # 17.99 # -4.61 # -19.08 # -11.33 # -9.01 # 6.1 # -4.16 # -21.32 # -20.57 # 1356.89 # -38.96 # -23.74 # 5.34,21.74 # 50.38 # 444.68 # 9.55 # 17.21 # 63.77 # 17.99 # 6.1 # 1356.89 # 5.34,199.36,19.86,-8.44 # -0.4 # -4.36 # -22.33 # -10.49 # -11.5 # -2.3 # -9.3 # -4.61 # -19.08 # -11.33 # -9.01 # -4.16 # -21.32 # -20.57 # -38.96 # -23.74,-13.05,-10.49,66.0,10,17,1356.89,-38.96,2006-01-20
SNCE,5,0.0,-14.56,51.0,-16.19,0.4477755616938139,-4.45 # -16.19 # -22.55 # -8.47 # -21.11,,,,-4.45 # -16.19 # -22.55 # -8.47 # -21.11,-14.56,-16.19,54.0,0,5,-4.45,-22.55,2020-12-09
MODD,5,40.0,6.14,44.0,-3.02,1.2530957682958563,15.48 # -3.05 # -3.02 # -15.87 # 37.19,15.48 # 37.19,26.33,26.33,-3.05 # -3.02 # -15.87,-7.31,-3.05,28.0,2,3,37.19,-15.87,2022-02-14
FPAY,30,23.33,-6.53,62.0,-12.73,0.05248214290407632,-7.41 # -33.33 # 25.0 # 0.0 # -41.18 # 7.14 # 40.0 # -24.39 # -2.5 # -16.67 # 20.48 # -31.25 # -21.05 # -24.24 # -9.09 # -6.33 # -21.84 # -29.26 # -13.17 # 63.44 # -0.59 # -17.24 # -8.82 # -13.19 # 47.06 # -21.02 # -15.38 # -38.27 # -12.3 # 9.4,25.0 # 0.0 # 7.14 # 40.0 # 20.48 # 63.44 # 47.06 # 9.4,26.57,22.74,-7.41 # -33.33 # -41.18 # -24.39 # -2.5 # -16.67 # -31.25 # -21.05 # -24.24 # -9.09 # -6.33 # -21.84 # -29.26 # -13.17 # -0.59 # -17.24 # -8.82 # -13.19 # -21.02 # -15.38 # -38.27 # -12.3,-18.57,-16.95,55.5,7,23,63.44,-41.18,2010-06-17
FBIO,21,23.81,-5.96,69.0,-14.13,0.18720007262576005,-22.5 # -28.96 # 28.23 # -14.88 # 33.48 # -18.48 # -20.33 # 2.83 # 40.79 # -14.13 # -15.04 # -31.56 # -14.58 # -17.71 # -8.16 # -2.96 # 5.49 # 0.0 # -5.52 # -5.5 # -15.73,28.23 # 33.48 # 2.83 # 40.79 # 5.49 # 0.0,18.47,16.86,-22.5 # -28.96 # -14.88 # -18.48 # -20.33 # -14.13 # -15.04 # -31.56 # -14.58 # -17.71 # -8.16 # -2.96 # -5.52 # -5.5 # -15.73,-15.74,-15.04,54.0,5,16,40.79,-31.56,2011-11-21
PBBK,6,33.33,-0.22,67.0,-1.51,0.983770834195546,-1.54 # 6.18 # -3.5 # -1.49 # -2.62 # 1.65,6.18 # 1.65,3.92,3.92,-1.54 # -3.5 # -1.49 # -2.62,-2.29,-2.08,64.5,2,4,6.18,-3.5,2021-07-19
APCX,28,32.14,-9.84,52.0,-16.0,0.00010727908699737063,-22.22 # 3.45 # -20.0 # -90.0 # -25.0 # 11.11 # 50.0 # 145.1 # -1.33 # -54.73 # 14.75 # -35.71 # -35.71 # 0.0 # -76.36 # -71.32 # 0.0 # -76.0 # 95.22 # -63.0 # -6.67 # 42.86 # 57.69 # -40.0 # -68.52 # -62.1 # 65.0 # -12.0,3.45 # 11.11 # 50.0 # 145.1 # 14.75 # 0.0 # 0.0 # 95.22 # 42.86 # 57.69 # 65.0,44.11,42.86,-22.22 # -20.0 # -90.0 # -25.0 # -1.33 # -54.73 # -35.71 # -35.71 # -76.36 # -71.32 # -76.0 # -63.0 # -6.67 # -40.0 # -68.52 # -62.1 # -12.0,-44.75,-40.0,40.0,9,19,145.1,-90.0,2014-03-05
YHGJ,40,32.5,-0.36,70.0,-6.26,0.22476650740360934,-16.92 # 30.06 # 10.8 # -34.63 # -21.95 # 5.76 # -3.53 # -5.98 # -9.5 # 12.11 # -0.46 # 148.7 # -16.54 # -12.8 # 0.0 # -6.55 # 4.96 # -11.25 # 7.24 # 1.06 # 59.31 # 0.0 # -5.25 # -14.98 # -6.81 # -2.82 # -7.94 # -39.93 # -19.23 # 13.57 # -12.02 # 3.92 # -24.58 # -9.68 # -14.44 # -35.29 # 50.0 # -18.62 # -11.62 # 1.44,30.06 # 10.8 # 5.76 # 12.11 # 148.7 # 0.0 # 4.96 # 7.24 # 1.06 # 59.31 # 0.0 # 13.57 # 3.92 # 50.0 # 1.44,23.26,7.24,-16.92 # -34.63 # -21.95 # -3.53 # -5.98 # -9.5 # -0.46 # -16.54 # -12.8 # -6.55 # -11.25 # -5.25 # -14.98 # -6.81 # -2.82 # -7.94 # -39.93 # -19.23 # -12.02 # -24.58 # -9.68 # -14.44 # -35.29 # -18.62 # -11.62,-14.53,-12.02,50.0,13,27,148.7,-39.93,2006-03-15
RAND,36,30.56,0.46,65.0,-3.53,0.6143622179310453,-10.0 # -9.79 # 2.94 # 122.78 # -11.7 # 1.63 # -14.16 # -12.06 # -5.91 # -3.71 # -6.34 # -16.38 # 8.67 # -5.56 # -19.25 # 18.47 # 7.62 # -2.07 # 13.12 # -1.0 # -13.4 # -3.34 # -9.03 # 3.6 # 0.81 # -6.59 # -16.04 # 8.73 # -11.89 # 37.99 # -2.91 # -14.39 # -7.37 # -2.81 # -1.85 # -2.16,2.94 # 122.78 # 1.63 # 8.67 # 18.47 # 7.62 # 13.12 # 3.6 # 0.81 # 8.73 # 37.99,20.58,8.67,-10.0 # -9.79 # -11.7 # -14.16 # -12.06 # -5.91 # -3.71 # -6.34 # -16.38 # -5.56 # -19.25 # -2.07 # -1.0 # -13.4 # -3.34 # -9.03 # -6.59 # -16.04 # -11.89 # -2.91 # -14.39 # -7.37 # -2.81 # -1.85 # -2.16,-8.39,-7.37,43.5,11,25,122.78,-19.25,2006-04-20
NMTC,16,31.25,-11.11,35.0,-9.15,0.08808551935406049,-6.34 # -6.93 # -13.27 # 4.8 # 0.34 # 1.64 # -6.54 # -50.16 # -11.37 # 43.68 # -17.95 # -51.22 # -11.36 # -20.81 # -38.37 # 6.15,4.8 # 0.34 # 1.64 # 43.68 # 6.15,11.32,4.8,-6.34 # -6.93 # -13.27 # -6.54 # -50.16 # -11.37 # -17.95 # -51.22 # -11.36 # -20.81 # -38.37,-21.3,-13.27,24.5,5,11,43.68,-51.22,2018-03-19
REFR,32,25.0,-1.76,69.0,-9.32,0.22591912306457307,13.81 # -10.31 # -8.91 # 95.72 # -19.6 # -32.1 # -24.62 # -11.99 # -19.19 # -8.25 # -8.55 # -13.51 # -8.12 # -7.99 # 54.14 # -14.11 # -4.76 # -17.32 # 48.64 # -9.72 # -1.95 # 0.18 # -12.83 # 16.19 # 32.47 # 18.87 # -29.09 # -17.48 # -17.39 # -12.45 # -23.43 # -2.64,13.81 # 95.72 # 54.14 # 48.64 # 0.18 # 16.19 # 32.47 # 18.87,35.0,25.67,-10.31 # -8.91 # -19.6 # -32.1 # -24.62 # -11.99 # -19.19 # -8.25 # -8.55 # -13.51 # -8.12 # -7.99 # -14.11 # -4.76 # -17.32 # -9.72 # -1.95 # -12.83 # -29.09 # -17.48 # -17.39 # -12.45 # -23.43 # -2.64,-14.01,-12.64,56.5,8,24,95.72,-32.1,2006-01-23
OESX,23,39.13,11.07,78.0,-6.92,2.7864042666024638,-13.5 # 33.7 # -18.95 # 3.76 # -6.92 # -18.73 # 28.57 # -6.77 # 101.6 # -13.47 # -21.97 # -12.66 # -13.04 # 25.83 # 6.52 # -9.62 # 172.04 # -6.6 # 17.3 # -28.07 # 68.11 # -18.6 # -14.0,33.7 # 3.76 # 28.57 # 101.6 # 25.83 # 6.52 # 172.04 # 17.3 # 68.11,50.83,28.57,-13.5 # -18.95 # -6.92 # -18.73 # -6.77 # -13.47 # -21.97 # -12.66 # -13.04 # -9.62 # -6.6 # -28.07 # -18.6 # -14.0,-14.49,-13.48,54.0,9,14,172.04,-28.07,2007-12-21
SYBX,15,26.67,-5.58,47.0,-11.56,0.2837875251869739,14.64 # -13.24 # -11.26 # 8.23 # -29.11 # -11.56 # -32.31 # -9.4 # -31.52 # -20.0 # -0.88 # 39.09 # -16.41 # -16.47 # 46.51,14.64 # 8.23 # 39.09 # 46.51,27.12,26.87,-13.24 # -11.26 # -29.11 # -11.56 # -32.31 # -9.4 # -31.52 # -20.0 # -0.88 # -16.41 # -16.47,-17.47,-16.41,41.0,4,11,46.51,-32.31,2015-10-02
IDN,35,28.57,-5.07,79.0,-8.67,0.04289218907835887,11.92 # -10.13 # -13.12 # 9.17 # -8.22 # -32.08 # -8.67 # -44.72 # -22.49 # -11.19 # -4.24 # -4.96 # 12.31 # -17.13 # -36.49 # -21.43 # 5.56 # 0.0 # -11.82 # 15.45 # -0.6 # 43.02 # 12.83 # -13.97 # -10.09 # -14.52 # 65.71 # 25.75 # -4.34 # 33.15 # -6.79 # -72.24 # -12.7 # -19.54 # -10.74,11.92 # 9.17 # 12.31 # 5.56 # 0.0 # 15.45 # 43.02 # 12.83 # 65.71 # 25.75 # 33.15,21.35,12.83,-10.13 # -13.12 # -8.22 # -32.08 # -8.67 # -44.72 # -22.49 # -11.19 # -4.24 # -4.96 # -17.13 # -36.49 # -21.43 # -11.82 # -0.6 # -13.97 # -10.09 # -14.52 # -4.34 # -6.79 # -72.24 # -12.7 # -19.54 # -10.74,-17.17,-12.26,62.0,10,25,65.71,-72.24,2006-01-25
FIXX,11,0.0,-16.65,47.0,-18.5,0.123037387682154,-3.31 # -5.57 # -4.24 # -21.03 # -18.5 # -33.23 # -11.09 # -7.74 # -25.33 # -33.68 # -19.4,,,,-3.31 # -5.57 # -4.24 # -21.03 # -18.5 # -33.23 # -11.09 # -7.74 # -25.33 # -33.68 # -19.4,-16.65,-18.5,42.0,0,11,-3.31,-33.68,2018-07-12
XPON,3,33.33,27.4,70.0,-7.54,1.6444605083777686,101.44 # -7.54 # -11.7,101.44,101.44,101.44,-7.54 # -11.7,-9.62,-9.62,63.0,1,2,101.44,-11.7,2023-02-07
BIOR,2,0.0,-26.87,57.0,-26.87,0.5231420527205559,-37.66 # -16.08,,,,-37.66 # -16.08,-26.87,-26.87,57.0,0,2,-16.08,-37.66,2021-10-27
AVHI,5,60.0,1.84,139.0,0.76,1.0937126826260912,6.96 # 0.76 # -0.47 # 0.0 # 1.96,6.96 # 0.76 # 0.0 # 1.96,2.42,1.36,-0.47,-0.47,-0.47,42.0,3,2,6.96,-0.47,2021-11-19
DCFC,4,25.0,-5.96,53.0,-0.61,0.7635204394889333,-1.02 # -0.2 # 0.41 # -23.02,0.41,0.41,0.41,-1.02 # -0.2 # -23.02,-8.08,-1.02,46.5,1,3,0.41,-23.02,2021-04-06
BYSI,12,8.33,-10.59,49.0,-13.83,0.14889693755812689,92.39 # -4.97 # -12.82 # -8.33 # -28.72 # -13.84 # -26.25 # -13.82 # -33.96 # -23.29 # -41.36 # -12.12,92.39,92.39,92.39,-4.97 # -12.82 # -8.33 # -28.72 # -13.84 # -26.25 # -13.82 # -33.96 # -23.29 # -41.36 # -12.12,-19.95,-13.84,41.0,1,11,92.39,-41.36,2017-03-31
INKT,5,20.0,-19.4,37.0,-23.17,0.3188497788158438,-32.54 # -23.17 # -12.2 # 2.65 # -31.75,2.65,2.65,2.65,-32.54 # -23.17 # -12.2 # -31.75,-24.91,-27.46,50.0,1,4,2.65,-32.54,2021-10-19
XGN,7,28.57,-11.34,56.0,-10.11,0.3716304298957039,16.07 # -10.11 # -19.05 # -22.02 # 1.25 # -42.54 # -3.02,16.07 # 1.25,8.66,8.66,-10.11 # -19.05 # -22.02 # -42.54 # -3.02,-19.35,-19.05,58.0,2,5,16.07,-42.54,2019-09-23
OPHC,28,21.43,-7.93,68.0,-11.56,0.034494533781455464,7.81 # -16.14 # -9.67 # -19.95 # -22.0 # -35.23 # -51.49 # -3.85 # -16.67 # -13.94 # -18.47 # 3.85 # -12.73 # 45.45 # -62.46 # -10.38 # -31.62 # 0.0 # -5.04 # -1.57 # -5.14 # -19.12 # -16.49 # 37.11 # 26.9 # -13.46 # -4.95 # 47.34,7.81 # 3.85 # 45.45 # 0.0 # 37.11 # 26.9 # 47.34,24.07,26.9,-16.14 # -9.67 # -19.95 # -22.0 # -35.23 # -51.49 # -3.85 # -16.67 # -13.94 # -18.47 # -12.73 # -62.46 # -10.38 # -31.62 # -5.04 # -1.57 # -5.14 # -19.12 # -16.49 # -13.46 # -4.95,-18.59,-16.14,49.0,6,22,47.34,-62.46,2006-01-30
YQ,4,25.0,-32.7,52.0,-41.94,0.17445906231938765,2.6 # -43.23 # -40.65 # -49.54,2.6,2.6,2.6,-43.23 # -40.65 # -49.54,-44.47,-43.23,50.5,1,3,2.6,-49.54,2020-12-08
AWRE,28,32.14,-1.25,90.0,-5.75,0.3713383334849099,-4.27 # -6.53 # -8.14 # -17.22 # -41.26 # 9.69 # -9.43 # 29.3 # 2.3 # 85.29 # -5.58 # -20.56 # -5.14 # -4.56 # 3.26 # -31.97 # 0.46 # 44.29 # -4.59 # -8.74 # -6.0 # -7.55 # -8.88 # -16.43 # 13.17 # -11.14 # -5.91 # 1.25,9.69 # 29.3 # 2.3 # 85.29 # 3.26 # 0.46 # 44.29 # 13.17 # 1.25,21.0,9.69,-4.27 # -6.53 # -8.14 # -17.22 # -41.26 # -9.43 # -5.58 # -20.56 # -5.14 # -4.56 # -31.97 # -4.59 # -8.74 # -6.0 # -7.55 # -8.88 # -16.43 # -11.14 # -5.91,-11.79,-8.14,74.5,9,19,85.29,-41.26,2006-03-15
MCAG,3,66.67,2.9,251.0,1.52,1.0881135850048147,7.19 # 1.52 # 0.0,7.19 # 1.52 # 0.0,2.9,1.52,,,,136.0,2,1,7.19,0.0,2021-12-07
BANL,1,0.0,-40.0,45.0,-40.0,0.5999999790401258,-40.0,,,,-40.0,-40.0,-40.0,45.0,0,1,-40.0,-40.0,2023-03-27
GREE,29,34.48,-2.55,98.0,-5.68,0.13807156164365816,-4.18 # -16.17 # 35.61 # -37.48 # -16.45 # -13.02 # -9.28 # 7.14 # 46.51 # 22.64 # 14.23 # -7.07 # 40.39 # -7.59 # -3.53 # -5.68 # -7.72 # -2.93 # 12.55 # 0.0 # 0.73 # -19.18 # -41.36 # -11.97 # 44.14 # -64.73 # 37.42 # -43.95 # -23.15,35.61 # 7.14 # 46.51 # 22.64 # 14.23 # 40.39 # 12.55 # 0.0 # 0.73 # 44.14 # 37.42,23.76,22.64,-4.18 # -16.17 # -37.48 # -16.45 # -13.02 # -9.28 # -7.07 # -7.59 # -3.53 # -5.68 # -7.72 # -2.93 # -19.18 # -41.36 # -11.97 # -64.73 # -43.95 # -23.15,-18.64,-12.5,76.0,10,19,46.51,-64.73,2006-01-26
CPSH,42,23.81,3.7,58.0,-6.45,0.2313529760165451,0.0 # -6.45 # -6.45 # 87.1 # -7.41 # -34.21 # -36.24 # 5.93 # 0.0 # 0.9 # -10.71 # -22.22 # -12.0 # 6.9 # 0.0 # -5.41 # -13.89 # 16.28 # -4.02 # 0.0 # 2.5 # -6.06 # 41.58 # -2.09 # -5.42 # -9.03 # -23.92 # -12.45 # -26.09 # -6.83 # -15.62 # 4.44 # -8.18 # -9.09 # -6.96 # -2.99 # -30.3 # 22.06 # 365.31 # -39.12 # -23.37 # -11.25,0.0 # 87.1 # 5.93 # 0.0 # 0.9 # 6.9 # 0.0 # 16.28 # 0.0 # 2.5 # 41.58 # 4.44 # 22.06 # 365.31,39.5,5.19,-6.45 # -6.45 # -7.41 # -34.21 # -36.24 # -10.71 # -22.22 # -12.0 # -5.41 # -13.89 # -4.02 # -6.06 # -2.09 # -5.42 # -9.03 # -23.92 # -12.45 # -26.09 # -6.83 # -15.62 # -8.18 # -9.09 # -6.96 # -2.99 # -30.3 # -39.12 # -23.37 # -11.25,-14.21,-9.9,41.5,10,32,365.31,-39.12,2006-01-19
PIXY,5,0.0,-30.21,48.0,-26.16,0.15593136839487057,-29.91 # -25.06 # -20.42 # -26.16 # -49.48,,,,-29.91 # -25.06 # -20.42 # -26.16 # -49.48,-30.21,-26.16,26.0,0,5,-20.42,-49.48,2017-07-05
ZDGE,11,36.36,55.52,82.0,-6.73,2.185129203911305,-6.73 # 18.99 # -10.54 # -30.86 # -28.3 # -23.8 # 718.8 # 2.69 # -32.98 # -1.11 # 4.55,18.99 # 718.8 # 2.69 # 4.55,186.26,11.77,-6.73 # -10.54 # -30.86 # -28.3 # -23.8 # -32.98 # -1.11,-19.19,-23.8,36.0,4,7,718.8,-32.98,2017-03-06
