ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy
EUDA,3,33.33,-12.7,130.0,-0.62,0.5187914593048423,-0.62 # -55.93 # 18.46,18.46,18.46,18.46,-0.62 # -55.93,-28.28,-28.28,39.0,1,2,18.46,-55.93,2021-12-16
GRRR,2,50.0,-23.96,238.0,-23.96,0.38573847215497165,19.92 # -67.83,19.92,19.92,19.92,-67.83,-67.83,-67.83,238.0,1,1,19.92,-67.83,2021-05-12
NCSM,9,44.44,2.9,69.0,-10.19,1.0129656254527901,8.63 # -10.19 # -18.5 # -17.17 # 73.85 # -10.83 # 6.65 # 5.11 # -11.49,8.63 # 73.85 # 6.65 # 5.11,23.56,7.64,-10.19 # -18.5 # -17.17 # -10.83 # -11.49,-13.64,-11.49,61.0,4,5,73.85,-18.5,2017-05-02
HLP,2,0.0,-55.48,52.0,-55.48,0.12213748369828663,-27.89 # -83.06,,,,-27.89 # -83.06,-55.48,-55.48,52.5,0,2,-27.89,-83.06,2023-08-22
FKWL,33,30.3,24.02,74.0,0.0,5.439485232079276,0.0 # 0.0 # -25.0 # -27.42 # -12.5 # 57.14 # 44.83 # -4.26 # 0.0 # -22.11 # -22.56 # 12.12 # 0.0 # 2.34 # -0.62 # 0.0 # 2.35 # -9.37 # 0.0 # -12.5 # -4.73 # 31.43 # -3.24 # -7.03 # -2.96 # -8.54 # -10.38 # 6.67 # 0.0 # -17.31 # 794.04 # 30.81 # 1.59,0.0 # 0.0 # 57.14 # 44.83 # 0.0 # 12.12 # 0.0 # 2.34 # 0.0 # 2.35 # 0.0 # 31.43 # 6.67 # 0.0 # 794.04 # 30.81 # 1.59,57.84,2.34,-25.0 # -27.42 # -12.5 # -4.26 # -22.11 # -22.56 # -0.62 # -9.37 # -12.5 # -4.73 # -3.24 # -7.03 # -2.96 # -8.54 # -10.38 # -17.31,-11.91,-9.88,55.0,10,23,794.04,-27.42,2007-08-07
GSD,4,100.0,3.05,184.0,0.91,1.1242338511580248,0.81 # 1.0 # 10.12 # 0.27,0.81 # 1.0 # 10.12 # 0.27,3.05,0.91,,,,113.0,4,0,10.12,0.27,2021-09-30
ICLK,9,33.33,8.54,69.0,-10.95,1.237025225272247,-21.45 # -6.49 # -10.95 # -23.51 # 97.04 # -11.56 # 31.86 # -28.46 # 50.39,97.04 # 31.86 # 50.39,59.77,50.39,-21.45 # -6.49 # -10.95 # -23.51 # -11.56 # -28.46,-17.07,-16.51,44.0,3,6,97.04,-28.46,2017-12-26
USAU,25,8.0,-11.89,68.0,-11.63,0.011538220004889264,-0.78 # -6.75 # -7.69 # -3.8 # -61.3 # 121.97 # -20.0 # -6.49 # -19.44 # -36.64 # -21.25 # -32.53 # -17.99 # -32.92 # -33.7 # -46.06 # -30.07 # -7.21 # 27.87 # -0.62 # -11.19 # -11.63 # -0.69 # -32.11 # -6.13,121.97 # 27.87,74.92,74.92,-0.78 # -6.75 # -7.69 # -3.8 # -61.3 # -20.0 # -6.49 # -19.44 # -36.64 # -21.25 # -32.53 # -17.99 # -32.92 # -33.7 # -46.06 # -30.07 # -7.21 # -0.62 # -11.19 # -11.63 # -0.69 # -32.11 # -6.13,-19.43,-17.99,48.0,2,23,121.97,-61.3,2006-01-19
ECOR,9,11.11,-14.98,54.0,-13.14,0.1683256479532181,-6.6 # -58.96 # -23.98 # -13.14 # 22.54 # -17.21 # -26.07 # -10.89 # -0.48,22.54,22.54,22.54,-6.6 # -58.96 # -23.98 # -13.14 # -17.21 # -26.07 # -10.89 # -0.48,-19.67,-15.18,54.0,1,8,22.54,-58.96,2018-06-26
MMV,4,25.0,-12.71,134.0,-14.22,0.5645157787339405,-6.37 # 0.97 # -23.38 # -22.07,0.97,0.97,0.97,-6.37 # -23.38 # -22.07,-17.27,-22.07,81.0,1,3,0.97,-23.38,2021-06-10
JRSH,10,30.0,-1.9,65.0,-5.9,0.7540489765295009,-13.0 # -19.47 # 4.34 # -0.77 # -6.67 # -8.87 # 33.36 # 6.58 # -9.36 # -5.14,4.34 # 33.36 # 6.58,14.76,6.58,-13.0 # -19.47 # -0.77 # -6.67 # -8.87 # -9.36 # -5.14,-9.04,-8.87,45.0,3,7,33.36,-19.47,2018-05-08
AIRG,11,36.36,9.11,72.0,-7.6,1.5656604450601195,76.43 # -13.11 # 20.13 # -0.23 # -7.6 # -10.35 # 39.96 # 64.71 # -17.45 # -19.2 # -33.09,76.43 # 20.13 # 39.96 # 64.71,50.31,52.33,-13.11 # -0.23 # -7.6 # -10.35 # -17.45 # -19.2 # -33.09,-14.43,-13.11,37.0,4,7,76.43,-33.09,2016-08-16
JFU,7,0.0,-20.08,37.0,-19.43,0.2026786725091352,-16.62 # -8.94 # -17.4 # -20.0 # -19.43 # -32.89 # -25.3,,,,-16.62 # -8.94 # -17.4 # -20.0 # -19.43 # -32.89 # -25.3,-20.08,-19.43,45.0,0,7,-8.94,-32.89,2019-09-09
BZFD,4,25.0,-21.14,67.0,-14.55,0.3150920617326918,-0.72 # 0.4 # -28.38 # -55.87,0.4,0.4,0.4,-0.72 # -28.38 # -55.87,-28.32,-28.38,53.0,1,3,0.4,-55.87,2021-03-09
UG,37,29.73,-1.07,83.0,-3.25,0.5785650707410473,-2.99 # -9.28 # -8.32 # -3.97 # -9.4 # 29.67 # 15.29 # -4.29 # -0.83 # 25.29 # -7.02 # -3.25 # 19.6 # -5.06 # -16.22 # -6.14 # -5.51 # 0.96 # -3.94 # -3.1 # -8.72 # -5.01 # 4.05 # -6.71 # -4.68 # -9.64 # -0.33 # -8.26 # 0.0 # -6.42 # 3.46 # -2.75 # 0.91 # 0.0 # 0.06 # 2.35 # 0.76,29.67 # 15.29 # 25.29 # 19.6 # 0.96 # 4.05 # 0.0 # 3.46 # 0.91 # 0.0 # 0.06 # 2.35 # 0.76,7.88,2.35,-2.99 # -9.28 # -8.32 # -3.97 # -9.4 # -4.29 # -0.83 # -7.02 # -3.25 # -5.06 # -16.22 # -6.14 # -5.51 # -3.94 # -3.1 # -8.72 # -5.01 # -6.71 # -4.68 # -9.64 # -0.33 # -8.26 # -6.42 # -2.75,-5.91,-5.28,55.0,11,26,29.67,-16.22,2006-02-14
