ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy
USNA,34,38.24,2.23,100.0,-3.55,1.0935871539564244,2.87 # 2.47 # 6.75 # -10.48 # -4.59 # -12.69 # 21.11 # 3.15 # 7.79 # 26.77 # -6.34 # -2.81 # 29.97 # 53.43 # -9.22 # -7.77 # 28.57 # 11.39 # -22.76 # -1.7 # -5.37 # -12.07 # -13.03 # 75.6 # -38.99 # -14.63 # -9.57 # -18.6 # -4.44 # -4.3 # 17.52 # -2.69 # -0.18 # -9.16,2.87 # 2.47 # 6.75 # 21.11 # 3.15 # 7.79 # 26.77 # 29.97 # 53.43 # 28.57 # 11.39 # 75.6 # 17.52,22.11,17.52,-10.48 # -4.59 # -12.69 # -6.34 # -2.81 # -9.22 # -7.77 # -22.76 # -1.7 # -5.37 # -12.07 # -13.03 # -38.99 # -14.63 # -9.57 # -18.6 # -4.44 # -4.3 # -2.69 # -0.18 # -9.16,-10.07,-9.16,83.0,13,21,75.6,-38.99,2006-01-19
FVRR,6,33.33,87.5,112.0,-8.71,3.07603799326595,-30.3 # 4.92 # 595.2 # -27.38 # -7.45 # -9.98,4.92 # 595.2,300.06,300.06,-30.3 # -27.38 # -7.45 # -9.98,-18.78,-18.68,65.5,2,4,595.2,-30.3,2019-06-17
TTEC,26,42.31,14.18,138.0,-2.53,6.217571952520627,1.37 # -9.24 # 147.09 # -9.71 # 87.25 # 24.63 # -16.84 # -9.04 # 13.63 # -4.45 # 42.66 # 10.17 # 9.28 # -0.92 # -4.01 # -4.01 # -1.05 # -4.6 # 23.93 # -9.81 # -8.95 # 38.1 # 129.33 # -5.09 # -9.63 # -61.37,1.37 # 147.09 # 87.25 # 24.63 # 13.63 # 42.66 # 10.17 # 9.28 # 23.93 # 38.1 # 129.33,47.95,24.63,-9.24 # -9.71 # -16.84 # -9.04 # -4.45 # -0.92 # -4.01 # -4.01 # -1.05 # -4.6 # -9.81 # -8.95 # -5.09 # -9.63 # -61.37,-10.58,-8.95,104.0,11,15,147.09,-61.37,2006-01-19
EWCZ,6,0.0,-12.8,56.0,-9.28,0.4262489509296505,-1.79 # -27.82 # -20.33 # -9.8 # -8.76 # -8.28,,,,-1.79 # -27.82 # -20.33 # -9.8 # -8.76 # -8.28,-12.8,-9.28,49.5,0,6,-1.79,-27.82,2021-08-09
NRC,32,18.75,-1.36,59.0,-5.7,0.4039841223254603,-12.36 # -8.49 # 1.0 # -12.34 # -13.78 # -1.59 # -12.76 # -5.78 # -7.98 # -10.32 # -6.77 # -9.18 # -4.81 # 98.74 # -12.37 # 8.93 # -1.42 # 0.0 # 0.39 # 40.3 # -9.83 # 0.87 # -4.95 # -12.32 # -13.74 # -5.58 # -8.35 # -5.54 # -1.4 # -0.35 # -6.06 # -5.62,1.0 # 98.74 # 8.93 # 0.0 # 0.39 # 40.3 # 0.87,21.46,1.0,-12.36 # -8.49 # -12.34 # -13.78 # -1.59 # -12.76 # -5.78 # -7.98 # -10.32 # -6.77 # -9.18 # -4.81 # -12.37 # -1.42 # -9.83 # -4.95 # -12.32 # -13.74 # -5.58 # -8.35 # -5.54 # -1.4 # -0.35 # -6.06 # -5.62,-7.75,-7.98,35.0,6,26,98.74,-13.78,2013-05-28
PWP,7,42.86,1.0,85.0,-0.2,1.0300662019531124,-2.27 # -3.4 # 13.87 # -18.55 # 15.52 # -0.2 # 2.05,13.87 # 15.52 # 2.05,10.48,13.87,-2.27 # -3.4 # -18.55 # -0.2,-6.11,-2.84,79.0,3,4,15.52,-18.55,2020-12-01
BXC,33,33.33,14.51,78.0,-6.76,2.142469921404954,11.51 # -3.33 # -6.76 # -7.87 # -12.28 # -5.86 # -20.96 # 19.23 # -9.0 # -25.13 # -2.68 # -15.13 # 12.11 # -12.35 # 22.87 # -13.08 # -13.39 # 13.47 # 25.67 # -6.28 # 273.69 # -22.58 # -7.71 # -39.38 # 364.94 # -17.81 # 10.67 # -19.75 # -31.03 # -8.63 # -0.29 # 0.47 # 25.43,11.51 # 19.23 # 12.11 # 22.87 # 13.47 # 25.67 # 273.69 # 364.94 # 10.67 # 0.47 # 25.43,70.91,19.23,-3.33 # -6.76 # -7.87 # -12.28 # -5.86 # -20.96 # -9.0 # -25.13 # -2.68 # -15.13 # -12.35 # -13.08 # -13.39 # -6.28 # -22.58 # -7.71 # -39.38 # -17.81 # -19.75 # -31.03 # -8.63 # -0.29,-13.69,-12.32,56.0,11,22,364.94,-39.38,2006-01-19
SCSC,47,19.15,-4.51,68.0,-6.36,0.09193978186894201,-2.57 # -0.3 # -0.31 # -5.88 # 2.81 # -6.86 # -4.12 # -13.07 # -3.34 # -15.55 # -24.99 # 25.49 # -14.65 # -6.4 # -3.02 # 20.61 # -8.13 # -14.71 # -1.05 # -9.9 # -6.36 # -0.99 # 3.34 # -9.5 # 1.19 # -11.87 # -6.07 # -9.28 # 0.05 # -12.21 # -1.27 # -5.35 # -13.25 # -3.79 # 9.18 # -8.92 # -12.77 # -4.66 # -15.11 # 9.59 # -7.13 # -8.35 # -8.88 # -7.4 # -10.83 # -6.48 # 21.15,2.81 # 25.49 # 20.61 # 3.34 # 1.19 # 0.05 # 9.18 # 9.59 # 21.15,10.38,9.18,-2.57 # -0.3 # -0.31 # -5.88 # -6.86 # -4.12 # -13.07 # -3.34 # -15.55 # -24.99 # -14.65 # -6.4 # -3.02 # -8.13 # -14.71 # -1.05 # -9.9 # -6.36 # -0.99 # -9.5 # -11.87 # -6.07 # -9.28 # -12.21 # -1.27 # -5.35 # -13.25 # -3.79 # -8.92 # -12.77 # -4.66 # -15.11 # -7.13 # -8.35 # -8.88 # -7.4 # -10.83 # -6.48,-8.03,-7.26,48.0,9,38,25.49,-24.99,2006-01-23
GRCL,6,33.33,3.77,44.0,-24.53,0.6292482369882824,-21.13 # -27.93 # -34.88 # -34.29 # 14.08 # 126.76,14.08 # 126.76,70.42,70.42,-21.13 # -27.93 # -34.88 # -34.29,-29.56,-31.11,37.5,2,4,126.76,-34.88,2021-02-11
BHE,35,31.43,-0.02,92.0,-4.45,0.7336807869180524,3.76 # 0.32 # -5.3 # -7.96 # 39.13 # -6.98 # -2.13 # -3.11 # -4.45 # 6.62 # 21.07 # -6.51 # -0.74 # -5.9 # 0.04 # -1.32 # -14.4 # -9.68 # -2.53 # 42.14 # 1.91 # -7.92 # -7.73 # -11.7 # -19.67 # -6.94 # 14.83 # 33.35 # -10.99 # -4.56 # -7.55 # -0.08 # -14.45 # -7.1 # 6.02,3.76 # 0.32 # 39.13 # 6.62 # 21.07 # 0.04 # 42.14 # 1.91 # 14.83 # 33.35 # 6.02,15.38,6.62,-5.3 # -7.96 # -6.98 # -2.13 # -3.11 # -4.45 # -6.51 # -0.74 # -5.9 # -1.32 # -14.4 # -9.68 # -2.53 # -7.92 # -7.73 # -11.7 # -19.67 # -6.94 # -10.99 # -4.56 # -7.55 # -0.08 # -14.45 # -7.1,-7.07,-6.96,76.0,11,24,42.14,-19.67,2006-01-18
