ticker,number_of_trades,win_ratio(%),average_res(%),average_trade_len(days),median_res(%),cumulative_result,trade_results,profitable_trade_results,profitable_trades_mean,profitable_trades_median,looser_trade_results,looser_trades_mean,looser_trades_median,median_trade_len(days),number_of_win_trades,number_of_lost_trades,max_gain(%),max_lost(%),first_trade_buy
BSVN,14,35.71,0.47,70.0,-4.94,0.9163578091130762,-3.14 # -9.41 # 2.16 # 2.36 # -14.27 # 49.39 # 23.31 # -6.11 # -5.56 # -10.88 # -11.15 # -4.32 # -6.35 # 0.53,2.16 # 2.36 # 49.39 # 23.31 # 0.53,15.55,2.36,-3.14 # -9.41 # -14.27 # -6.11 # -5.56 # -10.88 # -11.15 # -4.32 # -6.35,-7.91,-6.35,43.0,5,9,49.39,-14.27,2019-04-09
DLHC,33,36.36,4.56,82.0,-4.67,1.2543561825871736,4.67 # -11.59 # -24.03 # -13.5 # -12.73 # -4.0 # -12.73 # 149.23 # -27.31 # -3.35 # -8.11 # -0.98 # -22.94 # 32.74 # -7.14 # -4.67 # -12.76 # 4.64 # 45.12 # 18.7 # 4.31 # 2.16 # -11.5 # -6.12 # -34.57 # 59.8 # 5.22 # -4.62 # -6.99 # 36.29 # -17.49 # -14.09 # 48.94,4.67 # 149.23 # 32.74 # 4.64 # 45.12 # 18.7 # 4.31 # 2.16 # 59.8 # 5.22 # 36.29 # 48.94,34.32,25.72,-11.59 # -24.03 # -13.5 # -12.73 # -4.0 # -12.73 # -27.31 # -3.35 # -8.11 # -0.98 # -22.94 # -7.14 # -4.67 # -12.76 # -11.5 # -6.12 # -34.57 # -4.62 # -6.99 # -17.49 # -14.09,-12.44,-11.59,58.0,12,21,149.23,-34.57,2006-01-23
GENC,34,35.29,4.11,89.0,-1.23,2.0689063874137825,11.49 # 0.54 # 0.0 # -0.21 # 0.0 # 13.3 # -4.52 # 35.15 # -22.93 # -15.15 # -3.38 # -6.16 # 2.8 # -1.13 # -5.18 # 3.08 # -2.47 # 35.43 # -7.83 # -3.59 # -2.73 # -2.26 # 122.75 # 1.28 # -0.89 # -8.53 # -15.14 # -6.58 # -1.33 # 8.1 # -12.67 # -6.25 # 30.62 # 4.09,11.49 # 0.54 # 0.0 # 0.0 # 13.3 # 35.15 # 2.8 # 3.08 # 35.43 # 122.75 # 1.28 # 8.1 # 30.62 # 4.09,19.19,6.09,-0.21 # -4.52 # -22.93 # -15.15 # -3.38 # -6.16 # -1.13 # -5.18 # -2.47 # -7.83 # -3.59 # -2.73 # -2.26 # -0.89 # -8.53 # -15.14 # -6.58 # -1.33 # -12.67 # -6.25,-6.45,-4.85,56.0,12,22,122.75,-22.93,2006-01-19
OVLY,44,34.09,0.89,73.0,-2.81,1.1113133131433954,-9.09 # -3.33 # -9.28 # -4.22 # 11.11 # -7.29 # 7.78 # 4.88 # -8.59 # 3.45 # -7.83 # -2.66 # 23.7 # -1.46 # 0.69 # -5.37 # -10.15 # -5.08 # -3.91 # -2.8 # -11.3 # 44.94 # -5.26 # -0.7 # -3.87 # 48.03 # -9.95 # 2.23 # -4.54 # -1.63 # 2.25 # -6.68 # 10.37 # -3.89 # -4.72 # -4.21 # 1.86 # -0.66 # 1.68 # -0.55 # 23.38 # -9.0 # -2.83 # 3.79,11.11 # 7.78 # 4.88 # 3.45 # 23.7 # 0.69 # 44.94 # 48.03 # 2.23 # 2.25 # 10.37 # 1.86 # 1.68 # 23.38 # 3.79,12.68,4.88,-9.09 # -3.33 # -9.28 # -4.22 # -7.29 # -8.59 # -7.83 # -2.66 # -1.46 # -5.37 # -10.15 # -5.08 # -3.91 # -2.8 # -11.3 # -5.26 # -0.7 # -3.87 # -9.95 # -4.54 # -1.63 # -6.68 # -3.89 # -4.72 # -4.21 # -0.66 # -0.55 # -9.0 # -2.83,-5.2,-4.54,46.0,15,29,48.03,-11.3,2006-05-25
KFS,32,28.12,-0.61,86.0,-5.68,0.35249157319895,-1.59 # -6.81 # 4.97 # -12.13 # -15.29 # -14.0 # -21.24 # -0.97 # -28.69 # -11.62 # -22.22 # -28.17 # 7.65 # -14.59 # 67.65 # -5.29 # 26.32 # -4.0 # -11.71 # -29.21 # -7.69 # -13.43 # 2.78 # 104.11 # 15.85 # -2.73 # -4.26 # 4.44 # 21.94 # -5.83 # -8.11 # -5.54,4.97 # 7.65 # 67.65 # 26.32 # 2.78 # 104.11 # 15.85 # 4.44 # 21.94,28.41,15.85,-1.59 # -6.81 # -12.13 # -15.29 # -14.0 # -21.24 # -0.97 # -28.69 # -11.62 # -22.22 # -28.17 # -14.59 # -5.29 # -4.0 # -11.71 # -29.21 # -7.69 # -13.43 # -2.73 # -4.26 # -5.83 # -8.11 # -5.54,-11.96,-11.62,60.0,9,23,104.11,-29.21,2006-02-07
CMTL,34,29.41,-0.63,82.0,-4.25,0.3895909139777394,-5.86 # -5.31 # 12.28 # -0.56 # 0.69 # -10.37 # -5.84 # -11.82 # -8.18 # -2.34 # -3.05 # -13.45 # -5.32 # -3.26 # -14.66 # 3.28 # -3.35 # -9.21 # -4.69 # 8.51 # -3.2 # 1.9 # -8.8 # -20.08 # -24.81 # 129.65 # 3.36 # 6.0 # 31.92 # -3.82 # -12.44 # -11.19 # 5.78 # -33.25,12.28 # 0.69 # 3.28 # 8.51 # 1.9 # 129.65 # 3.36 # 6.0 # 31.92 # 5.78,20.34,5.89,-5.86 # -5.31 # -0.56 # -10.37 # -5.84 # -11.82 # -8.18 # -2.34 # -3.05 # -13.45 # -5.32 # -3.26 # -14.66 # -3.35 # -9.21 # -4.69 # -3.2 # -8.8 # -20.08 # -24.81 # -3.82 # -12.44 # -11.19 # -33.25,-9.37,-7.02,65.0,10,24,129.65,-33.25,2006-01-19
CNDA,3,100.0,2.35,219.0,1.07,1.0712335055020556,0.31 # 5.66 # 1.07,0.31 # 5.66 # 1.07,2.35,1.07,,,,175.0,3,0,5.66,0.31,2021-10-27
LXFR,20,30.0,3.24,82.0,-3.37,1.4574820381744937,40.85 # -1.42 # 9.92 # -7.41 # 9.56 # -4.08 # -6.58 # -0.51 # -2.24 # 8.88 # 46.18 # -2.67 # -11.92 # -11.52 # -7.09 # 39.99 # -16.27 # -10.38 # -4.21 # -4.32,40.85 # 9.92 # 9.56 # 8.88 # 46.18 # 39.99,25.9,24.95,-1.42 # -7.41 # -4.08 # -6.58 # -0.51 # -2.24 # -2.67 # -11.92 # -11.52 # -7.09 # -16.27 # -10.38 # -4.21 # -4.32,-6.47,-5.45,74.0,6,14,46.18,-16.27,2012-12-19
SLDP,3,0.0,-16.17,47.0,-12.62,0.5840242417750947,-10.88 # -12.62 # -25.0,,,,-10.88 # -12.62 # -25.0,-16.17,-12.62,39.0,0,3,-10.88,-25.0,2021-06-11
ABOS,3,66.67,3.23,75.0,13.2,1.010617054098209,25.19 # -28.69 # 13.2,25.19 # 13.2,19.2,19.2,-28.69,-28.69,-28.69,75.0,2,1,25.19,-28.69,2022-07-15
OM,8,12.5,-12.12,46.0,-13.08,0.3397565313085485,-0.53 # -14.96 # -8.03 # -25.65 # -12.35 # -24.08 # 2.42 # -13.82,2.42,2.42,2.42,-0.53 # -14.96 # -8.03 # -25.65 # -12.35 # -24.08 # -13.82,-14.2,-13.82,41.5,1,7,2.42,-25.65,2020-09-17
CLAR,30,40.0,3.12,98.0,-1.06,1.2717795961180915,0.29 # 20.69 # -5.51 # 0.0 # -1.14 # 36.85 # -0.99 # -5.84 # -19.8 # 10.79 # -5.68 # -0.21 # 2.4 # 37.1 # -15.27 # -12.77 # -8.58 # -18.2 # 23.42 # -11.67 # 20.17 # -10.97 # 29.39 # -14.61 # 0.9 # -5.88 # 32.39 # 73.5 # -12.46 # -44.79,0.29 # 20.69 # 0.0 # 36.85 # 10.79 # 2.4 # 37.1 # 23.42 # 20.17 # 29.39 # 0.9 # 32.39 # 73.5,22.15,20.69,-5.51 # -1.14 # -0.99 # -5.84 # -19.8 # -5.68 # -0.21 # -15.27 # -12.77 # -8.58 # -18.2 # -11.67 # -10.97 # -14.61 # -5.88 # -12.46 # -44.79,-11.43,-10.97,91.5,12,18,73.5,-44.79,2006-09-05
TLSI,3,66.67,2.12,189.0,0.36,1.0629312128103598,0.36 # -1.1 # 7.1,0.36 # 7.1,3.73,3.73,-1.1,-1.1,-1.1,107.0,2,1,7.1,-1.1,2021-09-14
